technology,current,alternative,countries,R2_current_better,R2_ties,R2_median_difference,adj_R2_current_better,adj_R2_ties,adj_R2_median_difference,AICc_current_better,AICc_ties,AICc_median_difference,BIC_current_better,BIC_ties,BIC_median_difference,rolling_RMSE_log_current_better,rolling_RMSE_log_ties,rolling_RMSE_log_median_difference
pv,GD,D0,11,9,0,0.014246585177482007,9,0,0.013089310414596156,6,0,-0.19019353295386487,7,0,-1.3003251500334727,5,0,0.012504941849534684
pv,GD,DD,11,6,0,0.0021681860331940195,6,0,0.002529550372059708,6,0,-0.773493141760845,6,0,-0.773493141760845,7,0,-0.004029766095817927
pv,GD,DG,11,7,0,0.0024501606062162784,7,0,0.0028956443528010967,7,0,-1.0122725562411858,7,0,-1.0122725562411858,8,0,-0.02515611607727125
pv,GD,G0,11,11,0,0.007104432319644527,8,0,0.004501798912962651,5,0,0.9114599052704389,6,0,-0.19867171180916898,5,0,0.005102134551752874
pv,GD,GG,11,3,0,-0.00538723288375309,3,0,-0.0062851050310452905,3,0,1.977570303786976,3,0,1.977570303786976,7,0,-0.010254752084154495
wind,G0,D0,14,10,0,0.045337456764320494,10,0,0.049115578161347206,10,0,-2.2886873896744575,10,0,-2.2886873896744575,10,0,-0.007111864372574689
wind,G0,DD,14,3,0,-0.02191251733646493,6,0,-0.013208704139424432,8,0,-1.0697298866053053,7,0,0.3356572282238792,9,0,-0.014718956519905041
wind,G0,DG,14,4,0,-0.023747208725906854,4,0,-0.011272833834228502,10,0,-1.9028567183937284,8,0,-0.49746960356454295,13,0,-0.01505899112538114
wind,G0,GD,14,0,0,-0.02652761840426865,5,0,-0.008324477532525798,10,0,-2.3992292672348086,9,0,-0.9938421524056249,9,0,-0.0037168349344296747
wind,G0,GG,14,0,0,-0.031139856554960654,5,0,-0.015307307714388374,9,0,-1.4962181474943748,7,0,-0.09083103266519288,10,0,-0.020984484815107438
