iso3,country_cn,D0,DD,DG,G0,GD,GG
AUS,澳大利亚,0.9794626401357476,0.9858462729310052,0.9853300640841752,0.966202260563104,0.9681028771552354,0.9718945800105916
BRA,巴西,0.9533964759778704,0.953592105532593,0.956697979458106,0.945529369626651,0.9526338019462957,0.9470786528605276
CHN,中国,0.9606467087410904,0.9770521131453004,0.9701005330416104,0.9742059750411496,0.9748932939185724,0.9805178324692416
DEU,德国,0.9115228532086588,0.922975545138992,0.9163264911960388,0.9611172535599856,0.9679669188379108,0.9736925572201606
ESP,西班牙,0.5147454872038761,0.624860974363487,0.938621362306028,0.9263408127444588,0.9563847003431456,0.9617719332268986
FRA,法国,0.7720109077912496,0.774402560348189,0.7835511911978368,0.8787637629811803,0.9271797363959606,0.9533793695728486
IND,印度,0.9547594733183156,0.9568599466509584,0.962379554866536,0.9525457016496488,0.9590281326841524,0.970880595385312
ITA,意大利,0.646441469166592,0.8644804960880046,0.840940665877276,0.9300092114287531,0.9484812108294826,0.9751854462573832
JPN,日本,0.9582828264745338,0.9618965598176415,0.9648737816759086,0.8951482034219682,0.9673239422821248,0.9523638217411808
KOR,韩国,0.9197944508257166,0.9532481693269036,0.9393879849113014,0.9004787648322121,0.9386025882246256,0.9409198650181748
USA,美国,0.9564507868587554,0.96434840467791,0.960632640940942,0.960922936177078,0.9617935871268902,0.96092349259703
