Country,Coount,Year,technology,exclude_office
China,8302,2024,pv,False
Korea,856,2024,pv,False
United States,302,2024,pv,False
Japan,209,2024,pv,False
EPO,96,2024,pv,True
WIPO,63,2024,pv,True
Germany,15,2024,pv,False
Chinese Taiwan,14,2024,pv,False
France,8,2024,pv,False
Netherlands,7,2024,pv,False
Sweden,7,2024,pv,False
Australia,6,2024,pv,False
Poland,5,2024,pv,False
Finland,3,2024,pv,False
Great Britain,3,2024,pv,False
Turkey,3,2024,pv,False
Mexico,2,2024,pv,False
Romania,2,2024,pv,False
Austria,1,2024,pv,False
Belgium,1,2024,pv,False
Switzerland,1,2024,pv,False
Czech Republic,1,2024,pv,False
Hungary,1,2024,pv,False
Israel,1,2024,pv,False
Norway,1,2024,pv,False
China,12019,2023,pv,False
Korea,838,2023,pv,False
United States,320,2023,pv,False
Japan,148,2023,pv,False
EPO,45,2023,pv,True
WIPO,34,2023,pv,True
Germany,31,2023,pv,False
France,19,2023,pv,False
Chinese Taiwan,14,2023,pv,False
Italy,13,2023,pv,False
Poland,12,2023,pv,False
Australia,5,2023,pv,False
Spain,5,2023,pv,False
Great Britain,5,2023,pv,False
Switzerland,4,2023,pv,False
Netherlands,4,2023,pv,False
Romania,4,2023,pv,False
Turkey,4,2023,pv,False
Austria,2,2023,pv,False
Czech Republic,2,2023,pv,False
Finland,2,2023,pv,False
Mexico,2,2023,pv,False
Bulgaria,1,2023,pv,False
Estonia,1,2023,pv,False
Greece,1,2023,pv,False
Norway,1,2023,pv,False
Sweden,1,2023,pv,False
China,10358,2022,pv,False
Korea,914,2022,pv,False
United States,256,2022,pv,False
Japan,143,2022,pv,False
EPO,43,2022,pv,True
WIPO,38,2022,pv,True
Poland,13,2022,pv,False
Chinese Taiwan,13,2022,pv,False
Turkey,9,2022,pv,False
Australia,7,2022,pv,False
Great Britain,7,2022,pv,False
Spain,4,2022,pv,False
Italy,4,2022,pv,False
Colombia,3,2022,pv,False
Israel,3,2022,pv,False
Finland,2,2022,pv,False
Mexico,2,2022,pv,False
Norway,2,2022,pv,False
Romania,2,2022,pv,False
Russia,2,2022,pv,False
Bulgaria,1,2022,pv,False
Brazil,1,2022,pv,False
Switzerland,1,2022,pv,False
Germany,1,2022,pv,False
Portugal,1,2022,pv,False
Sweden,1,2022,pv,False
South Africa,1,2022,pv,False
China,7699,2021,pv,False
Korea,1183,2021,pv,False
United States,333,2021,pv,False
Japan,222,2021,pv,False
EPO,102,2021,pv,True
WIPO,47,2021,pv,True
Chinese Taiwan,16,2021,pv,False
Russia,14,2021,pv,False
Poland,13,2021,pv,False
Australia,9,2021,pv,False
France,6,2021,pv,False
Great Britain,6,2021,pv,False
Turkey,6,2021,pv,False
Germany,4,2021,pv,False
Romania,4,2021,pv,False
Canada,3,2021,pv,False
Chile,3,2021,pv,False
Spain,3,2021,pv,False
Mexico,3,2021,pv,False
Austria,2,2021,pv,False
Brazil,2,2021,pv,False
Switzerland,2,2021,pv,False
Norway,2,2021,pv,False
Sweden,2,2021,pv,False
Colombia,1,2021,pv,False
Czech Republic,1,2021,pv,False
Israel,1,2021,pv,False
Luxembourg,1,2021,pv,False
Netherlands,1,2021,pv,False
Uruguay,1,2021,pv,False
China,6432,2020,pv,False
Korea,1193,2020,pv,False
United States,372,2020,pv,False
Japan,266,2020,pv,False
WIPO,101,2020,pv,True
Chinese Taiwan,80,2020,pv,False
EPO,61,2020,pv,True
Germany,56,2020,pv,False
France,30,2020,pv,False
Russia,24,2020,pv,False
Poland,21,2020,pv,False
Spain,17,2020,pv,False
Brazil,12,2020,pv,False
Netherlands,10,2020,pv,False
Switzerland,7,2020,pv,False
Turkey,7,2020,pv,False
Great Britain,6,2020,pv,False
Italy,6,2020,pv,False
Sweden,5,2020,pv,False
Australia,4,2020,pv,False
Belgium,4,2020,pv,False
Canada,4,2020,pv,False
Greece,4,2020,pv,False
Mexico,4,2020,pv,False
Chile,3,2020,pv,False
Finland,3,2020,pv,False
Slovakia,3,2020,pv,False
Argentina,2,2020,pv,False
Bulgaria,2,2020,pv,False
Colombia,2,2020,pv,False
Ireland,2,2020,pv,False
Morocco,2,2020,pv,False
Moldova,2,2020,pv,False
Romania,2,2020,pv,False
Denmark,1,2020,pv,False
Ecuador,1,2020,pv,False
Malaysia,1,2020,pv,False
Norway,1,2020,pv,False
Portugal,1,2020,pv,False
Saudi Arabia,1,2020,pv,False
