iso3,country_cn,D0,DD,DG,G0,GD,GG
AUS,澳大利亚,0.914439884997294,0.9217185332265448,0.9271619280573168,0.9178557874156478,0.9201637213095128,0.924174819836342
BRA,巴西,0.8316041571243773,0.9357225148161546,0.9267074615776772,0.9146845367848996,0.9373295660758384,0.9370655542329828
CAN,加拿大,0.5639633580854255,0.8904305117575402,0.8388796002147605,0.7885318147099439,0.9017564287332032,0.8972022017694344
CHN,中国,0.707175281082536,0.931550331471122,0.884635972115919,0.7198942502268332,0.9348695185492524,0.8771250062165443
DEU,德国,0.780847071486521,0.934698919318286,0.8874538765693863,0.902764286870902,0.9395741408418196,0.9412637315220266
ESP,西班牙,0.8162641387861008,0.8388360930616974,0.8389188674434176,0.7492166660753442,0.7818004763223998,0.7788906587575042
FRA,法国,0.617417915741751,0.6438774913314528,0.61772985122664,0.686122423671756,0.7149521373418248,0.687272317164668
GBR,英国,0.5343090183343657,0.715645804536502,0.7419550496646752,0.7088592117269333,0.7714900573436226,0.7706323649394135
IND,印度,0.7484770523645746,0.8196743975825471,0.8389481231171312,0.7363307038279283,0.7682001032503277,0.7689364242556896
ITA,意大利,0.8436794682134138,0.8504404032283907,0.8522585655346081,0.827653346586716,0.8301883136533179,0.8308808885346733
POL,波兰,0.6842305330649842,0.7412996342463617,0.7037646505875683,0.7417980053761872,0.7567053953391605,0.7952657831214064
SWE,瑞典,0.7264737125770513,0.7625292279398936,0.7501000854567028,0.7595811537944892,0.7838066769329577,0.7724796277251355
TUR,土耳其,0.6804829480821628,0.6808297268970709,0.8193535645332717,0.767327066081728,0.7717081325794191,0.8396869852482897
USA,美国,0.9341939572593456,0.9342004663849888,0.934233034576333,0.9113438360724114,0.9118332316704948,0.9116545228404356
