group,model_id,term,coefficient_error,SE_error
PV_G_Material_Sensitivity_0915,pv_CHN_2022_A,const,4.149569576838985e-12,9.236718057081816e-10
PV_G_Material_Sensitivity_0915,pv_CHN_2022_A,logQ,8.526512829121202e-14,2.4597990311292506e-11
PV_G_Material_Sensitivity_0915,pv_CHN_2022_A,logG,4.121147867408581e-13,1.0540612827014684e-10
PV_G_Material_Sensitivity_0915,pv_CHN_2022_A,logM,2.7500571264660323e-14,5.280414994146554e-12
PV_G_Material_Sensitivity_0915,pv_CHN_2022_B,const,1.8474111129762605e-12,4.4354120376510764e-10
PV_G_Material_Sensitivity_0915,pv_CHN_2022_B,logQ,3.2862601528904634e-14,6.745826119924914e-12
PV_G_Material_Sensitivity_0915,pv_CHN_2022_B,logG,1.812439087700568e-13,4.669842290638826e-11
PV_G_Material_Sensitivity_0915,pv_CHN_2022_C,const,2.2737367544323206e-13,1.6111201261992392e-10
PV_G_Material_Sensitivity_0915,pv_CHN_2022_C,logQ,5.329070518200751e-15,4.360178884610377e-12
PV_G_Material_Sensitivity_0915,pv_CHN_2022_C,logG,7.16093850883226e-15,1.7821077946678088e-11
PV_G_Material_Sensitivity_0915,pv_CHN_2022_C,logM,4.0939474033052647e-16,7.83553777417012e-13
PV_G_Material_Sensitivity_0915,pv_CHN_2022_D,const,2.2737367544323206e-13,2.665423437520076e-12
PV_G_Material_Sensitivity_0915,pv_CHN_2022_D,logQ,4.884981308350689e-15,5.31574784190525e-13
PV_G_Material_Sensitivity_0915,pv_CHN_2022_D,logG,3.552713678800501e-15,1.1899370377932428e-12
PV_G_Material_Sensitivity_0915,pv_DEU_2022_A,const,2.3305801732931286e-12,1.7944739028052936e-09
PV_G_Material_Sensitivity_0915,pv_DEU_2022_A,logQ,4.973799150320701e-14,2.0217438834180257e-11
PV_G_Material_Sensitivity_0915,pv_DEU_2022_A,logG,2.4868995751603507e-13,1.6866730234710303e-10
PV_G_Material_Sensitivity_0915,pv_DEU_2022_A,logM,1.37025807367408e-14,7.847472671684841e-12
PV_G_Material_Sensitivity_0915,pv_DEU_2022_B,const,1.2789769243681803e-12,4.4721559788740706e-10
PV_G_Material_Sensitivity_0915,pv_DEU_2022_B,logQ,2.842170943040401e-14,8.642531135194531e-12
PV_G_Material_Sensitivity_0915,pv_DEU_2022_B,logG,1.3500311979441904e-13,3.2940317140628395e-11
PV_G_Material_Sensitivity_0915,pv_DEU_2022_C,const,2.2737367544323206e-13,8.109495297503599e-10
PV_G_Material_Sensitivity_0915,pv_DEU_2022_C,logQ,0.0,1.983929687199293e-11
PV_G_Material_Sensitivity_0915,pv_DEU_2022_C,logG,1.4210854715202004e-14,1.2530421145129367e-10
PV_G_Material_Sensitivity_0915,pv_DEU_2022_C,logM,3.469446951953614e-17,7.05603631079299e-12
PV_G_Material_Sensitivity_0915,pv_DEU_2022_D,const,1.1546319456101628e-13,3.7119995965895214e-10
