model_id,technology,iso3,country,fit_end,spec,G_transform,material_included,n,df_resid,first_year,last_year,observed_years,R2,adjusted_R2,RMSE_log,max_VIF,VIF_G,VIF_Q,VIF_M,joint_F_HAC,joint_p_HAC,outcome,inference
pv_CHN_2022_A,pv,CHN,China,2022,A,ln(1+G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9774511749404367,0.9699348999205822,0.09177906701789852,80.04631778236042,63.204525298263775,80.04631778236042,4.4049360005902995,94.5087839707623,4.014125924316758e-07,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_CHN_2022_B,pv,CHN,China,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9774240333740707,0.9729088400488848,0.09183428671299923,24.780429522820267,24.780429522820267,24.7804295228202,,156.97063541452738,2.803293641669388e-08,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_CHN_2022_C,pv,CHN,China,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9774511885370911,0.9699349180494549,0.09177903934708996,80.04714180885367,63.205290784125886,80.04714180885367,4.40491992898299,94.50874672000502,4.014132805243037e-07,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_CHN_2022_D,pv,CHN,China,2022,D,ln(G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9774240515950842,0.972908861914101,0.09183424965336541,24.78082005875723,24.78082005875723,24.780820058756955,,156.97072053896318,2.803286275259645e-08,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_DEU_2022_A,pv,DEU,Germany,2022,A,ln(1+G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9690877666280789,0.9587836888374386,0.09139911068458764,80.04631778236042,63.204525298263775,80.04631778236042,4.4049360005902995,111.57584185965909,1.9462699089648633e-07,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_DEU_2022_B,pv,DEU,Germany,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9690658463713833,0.9628790156456599,0.09143151107595283,24.780429522820267,24.780429522820267,24.7804295228202,,184.8724869332024,1.2663093913979524e-08,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_DEU_2022_C,pv,DEU,Germany,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9690878160201996,0.9587837546935994,0.09139903766498969,80.04714180885367,63.205290784125886,80.04714180885367,4.40491992898299,111.57630808850392,1.946234357398957e-07,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_DEU_2022_D,pv,DEU,Germany,2022,D,ln(G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9690658958347774,0.9628790750017329,0.0914314379768998,24.78082005875723,24.78082005875723,24.780820058756955,,184.87329815302982,1.2662823405562006e-08,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_IND_2022_A,pv,IND,India,2022,A,ln(1+G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9732488674567917,0.9643318232757223,0.11780746698521917,80.04631778236042,63.204525298263775,80.04631778236042,4.4049360005902995,123.76935248230693,1.23598879304468e-07,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
pv_IND_2022_B,pv,IND,India,2022,B,ln(1+G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.9721525522895803,0.9665830627474964,0.12019722194996582,24.780429522820267,24.780429522820267,24.7804295228202,,194.29546693229008,9.939462940179968e-09,log IRENA total installed costs (2024 USD/kW),calendar HAC(1); n/df correction; two-sided Student t
