model_id,iso3,role,spec,n,df_resid,first_year,last_year,years,difference,R2,adjusted_R2,VIF_G,max_VIF,joint_F_HAC,joint_p_HAC,durbin_watson,corr_Q_G
CHN__updated_main__A,CHN,updated_main,A,14,10,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",False,0.9929707018888804,0.9908619124555444,29.407575574206454,35.17067664668979,2294.257717160675,1.738844115395949e-14,1.9655699402902196,0.9803045484934242
CHN__updated_main__B,CHN,updated_main,B,14,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",False,0.9337622547724687,0.921719028367463,25.639058531524725,25.639058531524725,83.74562570367728,2.2068185665712744e-07,1.6389877672342932,0.9803045484934242
CHN__updated_main__C,CHN,updated_main,C,14,10,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",False,0.9929707276572826,0.9908619459544673,29.408154474527812,35.1713285087142,2294.2452540999743,1.7388912714141296e-14,1.9655706091625338,0.9803049100659991
CHN__updated_main__D,CHN,updated_main,D,14,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",False,0.9337622694725083,0.9217190457402371,25.639524545151918,25.63952454515199,83.74561402794342,2.206820154484444e-07,1.6389876967328052,0.9803049100659991
CHN__annual_difference__C,CHN,annual_difference,C,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",True,0.8645478863901317,0.813753343786431,1.4796217308956054,1.4796217308956054,34.3869196520076,6.408696383328998e-05,3.018310737422708,0.40206754253590815
CHN__annual_difference__D,CHN,annual_difference,D,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",True,0.32853993033434103,0.17932658151975012,1.1928310502152415,1.1928310502152415,3.2040953073763005,0.08896289381710266,2.5455910092906047,0.40206754253590815
DEU__updated_main__A,DEU,updated_main,A,14,10,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,0.9777482106397088,0.9710726738316215,36.77992292032383,46.667971076440296,193.76019766905742,3.7191410438780114e-09,1.9934681376574543,0.97614842782544
DEU__updated_main__B,DEU,updated_main,B,14,11,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,0.9562735142822296,0.9483232441517259,21.215996154540758,21.215996154540857,68.96960663610703,5.971864748759995e-07,1.4914365424250484,0.97614842782544
DEU__updated_main__C,DEU,updated_main,C,14,10,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,0.9777481870789361,0.9710726432026169,36.78051961536517,46.668643701131806,193.7612865317595,3.719038458653581e-09,1.9934687369809747,0.9761488250048775
DEU__updated_main__D,DEU,updated_main,D,14,11,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,0.9562734104458035,0.9483231214359495,21.21634518770956,21.21634518770986,68.96935102678097,5.9719774880078e-07,1.4914345632424812,0.9761488250048775
DEU__new_source_old_years__A,DEU,new_source_old_years,A,8,4,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,0.9710412672002509,0.949322217600439,86.52448920417054,92.70195144030198,132.4014703307292,0.00018575539342332827,1.8417102796110525,0.9941887094485866
DEU__new_source_old_years__B,DEU,new_source_old_years,B,8,5,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,0.9550450298182652,0.9370630417455713,86.29013674159981,86.29013674160228,42.10831534588512,0.0007435504933928145,1.3969020412848707,0.9941887094485866
DEU__new_source_old_years__C,DEU,new_source_old_years,C,8,4,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,0.9710414956118492,0.9493226173207361,86.52423787274812,92.7015419911098,132.40287027916335,0.0001857515109827218,1.8417126706497902,0.9941886949796368
DEU__new_source_old_years__D,DEU,new_source_old_years,D,8,5,2010,2017,"2010,2011,2012,2013,2014,2015,2016,2017",False,0.9550453138152153,0.9370634393413014,86.28992252305247,86.28992252305578,42.108623534118,0.0007435376510146425,1.3969066945605975,0.9941886949796368
DEU__annual_difference__C,DEU,annual_difference,C,13,9,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",True,0.6879943639755903,0.5839924853007872,1.2012031274059218,1.285536543181294,31.67293462205487,4.110677475631861e-05,3.0535208733249113,0.3884955384568392
DEU__annual_difference__D,DEU,annual_difference,D,13,10,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",True,0.5074136497168555,0.4088963796602266,1.1777575077923375,1.1777575077923377,12.275613755086297,0.0020308721949569733,2.629586617109691,0.3884955384568392
JPN__updated_main__A,JPN,updated_main,A,10,6,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,0.9103376752858001,0.8655065129287002,44.93266943934629,59.40821240467489,38.39300123587724,0.0002605535452226086,2.7994445502576273,0.9875581136239825
JPN__updated_main__B,JPN,updated_main,B,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,0.9045671749236681,0.8773006534732876,40.438397167816255,40.43839716781807,59.97789471963107,3.936038644899738e-05,2.687843811067301,0.9875581136239825
JPN__updated_main__C,JPN,updated_main,C,10,6,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,0.9103379679524031,0.8655069519286046,44.93318285424924,59.4087141886025,38.39354356498353,0.0002605431182289502,2.7994477823111548,0.9875582730845491
JPN__updated_main__D,JPN,updated_main,D,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,0.9045675269252297,0.8773011060467238,40.43891220596102,40.43891220596138,59.97876727284387,3.935849287023683e-05,2.6878498540976663,0.9875582730845491
JPN__annual_difference__C,JPN,annual_difference,C,9,5,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",True,0.16755486171456535,-0.3319122212566956,1.9664528837177553,1.9664528837177553,1.457670871454848,0.33176966138140784,2.806907109296019,0.679915906793843
JPN__annual_difference__D,JPN,annual_difference,D,9,6,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",True,0.13275523601319683,-0.15632635198240408,1.8597234423475695,1.8597234423475695,1.287868753009827,0.3424832320572109,2.749206847740416,0.679915906793843
KOR__updated_main__A,KOR,updated_main,A,8,4,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,0.9248866111509102,0.8685515695140928,44.81921140888028,54.653192145326805,64.73022953036116,0.0007585984286614156,2.7486851896304128,0.9885696731886131
KOR__updated_main__B,KOR,updated_main,B,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,0.9235959595865568,0.8930343434211796,43.994718210698366,43.9947182106988,107.57679124905167,7.773392881960509e-05,2.8393389996860785,0.9885696731886131
KOR__updated_main__C,KOR,updated_main,C,8,4,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,0.9248866557568973,0.8685516475745703,44.819736836894855,54.653668086503224,64.73007551560917,0.0007586019536618699,2.748684982200815,0.9885698151430594
KOR__updated_main__D,KOR,updated_main,D,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,0.9235960026915568,0.8930344037681796,43.99526145196783,43.99526145196783,107.57621527541558,7.773494568026893e-05,2.8393387499134874,0.9885698151430594
KOR__annual_difference__D,KOR,annual_difference,D,5,2,2011,2017,"2011,2012,2013,2016,2017",True,0.07923174758149532,-0.8415365048370094,3.7772123986415647,3.7772123986415647,0.35634797316864447,0.7372739295387754,3.0240417778286,0.8574698222393626
USA__updated_main__A,USA,updated_main,A,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,0.944101094097702,0.9288559379425299,28.670656092885146,34.82504363842123,71.94931059064743,1.6314971725244065e-07,1.9826800272598135,0.9791663566545211
USA__updated_main__B,USA,updated_main,B,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,0.9422897883862167,0.9326714197839194,24.25227448984083,24.252274489840957,109.95328146953678,1.9195933661383244e-08,2.0052388376003165,0.9791663566545211
USA__updated_main__C,USA,updated_main,C,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,0.9441009751992638,0.9288557866172449,28.6711944075717,34.825653674405366,71.94877700320879,1.6315602475605358e-07,1.9826759623964825,0.9791667210379547
USA__updated_main__D,USA,updated_main,D,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,0.9422896904658145,0.9326713055434502,24.25269420789404,24.25269420789404,109.95264987790496,1.9196561028994628e-08,2.0052346443050673,0.9791667210379547
USA__new_source_old_years__A,USA,new_source_old_years,A,10,6,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,0.957184505121343,0.9357767576820145,44.93266943934629,59.40821240467489,199.158325430559,2.1418966720307083e-06,2.587780853131544,0.9875581136239825
USA__new_source_old_years__B,USA,new_source_old_years,B,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,0.9064420692848711,0.8797112319376914,40.438397167816255,40.43839716781807,86.85443162555157,1.1439710948573425e-05,2.0201978017008964,0.9875581136239825
USA__new_source_old_years__C,USA,new_source_old_years,C,10,6,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,0.9571844994009296,0.9357767491013944,44.93318285424924,59.4087141886025,199.1582212864229,2.1418999945901155e-06,2.5877805660218574,0.9875582730845491
USA__new_source_old_years__D,USA,new_source_old_years,D,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,0.9064419525301377,0.8797110818244628,40.43891220596102,40.43891220596138,86.85396512613634,1.1439917672043242e-05,2.0201944124472275,0.9875582730845491
USA__annual_difference__C,USA,annual_difference,C,14,10,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,0.21140072034847335,-0.025179063546984626,1.2476496163023723,1.2849040349388747,1.2558671255226488,0.34120563696987577,2.353831892193753,0.3696277921464232
USA__annual_difference__D,USA,annual_difference,D,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,0.16678755038752147,0.015294377730707187,1.1582448623154604,1.1582448623154604,1.9215396088684868,0.19243219745639092,2.4263608807955928,0.3696277921464232
