technology,iso3,country,year,tic,logC,logQ,logK,logM,source_sheet,source_cell,model_id,fitted_log_cost,residual
pv,AUS,Australia,2010,8226.006707647639,9.015055964210367,3.682166724070565,8.41226261905827,4.456192445165693,Figure 3.3,C5,pv_AUS_2022,9.07540030296752,-0.06034433875715273
pv,AUS,Australia,2011,8070.627916404932,8.995986566961331,4.252328599622632,8.484138934820503,4.509679808932987,Figure 3.3,D5,pv_AUS_2022,8.866563809208644,0.1294227577526872
pv,AUS,Australia,2012,5845.8413892502,8.673485813802989,4.598290072191402,8.529912216601073,3.523311081544699,Figure 3.3,E5,pv_AUS_2022,8.552377417459002,0.12110839634398651
pv,AUS,Australia,2013,3431.1490001785755,8.140650469539683,4.90117475518874,8.544763696217103,3.015723559908184,Figure 3.3,F5,pv_AUS_2022,8.29859981680228,-0.15794934726259768
pv,AUS,Australia,2014,3581.3283583559555,8.183489060392885,5.151279397977148,8.550810236670191,3.26713839072327,Figure 3.3,G5,pv_AUS_2022,8.203765652324357,-0.0202765919314718
pv,AUS,Australia,2015,2663.0217981108967,7.887216771327144,5.39300057712095,8.546285121659619,3.164990795937875,Figure 3.3,H5,pv_AUS_2022,8.028545283820677,-0.14132851249353262
pv,AUS,Australia,2016,2292.9292994915004,7.737585449190882,5.674382328161501,8.544318752276505,2.929240932529897,Figure 3.3,I5,pv_AUS_2022,7.808593239676466,-0.07100779048558437
pv,AUS,Australia,2017,2346.42868245442,7.760649741614449,5.951553934028465,8.529880575483906,2.891409513410439,Figure 3.3,J5,pv_AUS_2022,7.605857255922198,0.15479248569225046
pv,AUS,Australia,2018,1809.828003777512,7.500987094207373,6.17063993071869,8.522287754076318,2.956890415537674,Figure 3.3,K5,pv_AUS_2022,7.47042614814065,0.030560946066723105
pv,AUS,Australia,2019,1489.0921446638883,7.305921914358209,6.363208897541072,8.504106352134421,2.5071504398904505,Figure 3.3,L5,pv_AUS_2022,7.235304831481171,0.07061708287703805
pv,AUS,Australia,2020,1248.0457552893834,7.129334211149439,6.566156825734936,8.483962768411303,2.4948890766393457,Figure 3.3,M5,pv_AUS_2022,7.0724639821932005,0.05687022895623883
pv,AUS,Australia,2021,1162.0471230412904,7.057938489981407,6.751017535589894,8.4619194547022,3.442230801592228,Figure 3.3,N5,pv_AUS_2022,7.0975029532901415,-0.039564463308734865
pv,AUS,Australia,2022,979.5214615557928,6.887064147870228,6.952593472965691,8.43506592119739,3.62475566987548,Figure 3.3,O5,pv_AUS_2022,6.959965001320294,-0.07290085345006592
pv,BRA,Brazil,2011,7522.515553575554,8.925655876109316,4.252328599622632,8.484138934820503,4.509679808932987,Figure 3.3,D6,pv_BRA_2022,8.95471699108743,-0.02906111497811459
pv,BRA,Brazil,2013,5117.282639309783,8.540378842634333,4.90117475518874,8.544763696217103,3.015723559908184,Figure 3.3,F6,pv_BRA_2022,8.568901268535958,-0.02852242590162568
pv,BRA,Brazil,2014,6068.722799156141,8.710903449913198,5.151279397977148,8.550810236670191,3.26713839072327,Figure 3.3,G6,pv_BRA_2022,8.322412527333777,0.38849092257942175
pv,BRA,Brazil,2015,2497.658976411624,7.823109162715733,5.39300057712095,8.546285121659619,3.164990795937875,Figure 3.3,H6,pv_BRA_2022,8.11723761038792,-0.29412844767218616
pv,BRA,Brazil,2016,2460.5928028234507,7.808157576653674,5.674382328161501,8.544318752276505,2.929240932529897,Figure 3.3,I6,pv_BRA_2022,7.892583424837796,-0.08442584818412247
pv,BRA,Brazil,2017,1975.0868857598143,7.588367669157347,5.951553934028465,8.529880575483906,2.891409513410439,Figure 3.3,J6,pv_BRA_2022,7.644608558218044,-0.05624088906069691
pv,BRA,Brazil,2018,1809.6190475909184,7.50087163116351,6.17063993071869,8.522287754076318,2.956890415537674,Figure 3.3,K6,pv_BRA_2022,7.439885830839223,0.060985800324287354
pv,BRA,Brazil,2019,1495.162848478625,7.309990408640726,6.363208897541072,8.504106352134421,2.5071504398904505,Figure 3.3,L6,pv_BRA_2022,7.310164227480297,-0.00017381883957146016
pv,BRA,Brazil,2020,1298.4074341474254,7.168893741805852,6.566156825734936,8.483962768411303,2.4948890766393457,Figure 3.3,M6,pv_BRA_2022,7.122702357127397,0.04619138467845474
pv,BRA,Brazil,2021,915.5422974243716,6.819516564493922,6.751017535589894,8.4619194547022,3.442230801592228,Figure 3.3,N6,pv_BRA_2022,6.8458670788196425,-0.026350514325720553
pv,BRA,Brazil,2022,779.5200740754375,6.658678440668406,6.952593472965691,8.43506592119739,3.62475566987548,Figure 3.3,O6,pv_BRA_2022,6.635443489288243,0.023234951380162627
pv,CHN,China,2010,4291.432902265811,8.36437596600536,3.682166724070565,8.41226261905827,4.456192445165693,Figure 3.3,C7,pv_CHN_2022,8.43046610430615,-0.06609013830079036
pv,CHN,China,2011,4031.162378781085,8.301810044811699,4.252328599622632,8.484138934820503,4.509679808932987,Figure 3.3,D7,pv_CHN_2022,8.255479877840022,0.04633016697167669
pv,CHN,China,2012,3275.3966683631643,8.094194260845795,4.598290072191402,8.529912216601073,3.523311081544699,Figure 3.3,E7,pv_CHN_2022,7.991443763623028,0.10275049722276641
pv,CHN,China,2013,2520.8503416008384,7.83235156072955,4.90117475518874,8.544763696217103,3.015723559908184,Figure 3.3,F7,pv_CHN_2022,7.770588131872542,0.061763428857007696
pv,CHN,China,2014,2100.065022292831,7.649723586228757,5.151279397977148,8.550810236670191,3.26713839072327,Figure 3.3,G7,pv_CHN_2022,7.683325293015078,-0.03360170678632102
pv,CHN,China,2015,1622.5553814943787,7.391757581428304,5.39300057712095,8.546285121659619,3.164990795937875,Figure 3.3,H7,pv_CHN_2022,7.525163737715802,-0.1334061562874984
pv,CHN,China,2016,1468.7692152533812,7.292180060532598,5.674382328161501,8.544318752276505,2.929240932529897,Figure 3.3,I7,pv_CHN_2022,7.328544960355353,-0.0363648998227557
pv,CHN,China,2017,1377.8666056804332,7.228291644043518,5.951553934028465,8.529880575483906,2.891409513410439,Figure 3.3,J7,pv_CHN_2022,7.142828042731555,0.08546360131196273
pv,CHN,China,2018,1047.2659983319315,6.9539382362269855,6.17063993071869,8.522287754076318,2.956890415537674,Figure 3.3,K7,pv_CHN_2022,7.018182104476534,-0.06424386824954809
pv,CHN,China,2019,946.188254693266,6.852441549986699,6.363208897541072,8.504106352134421,2.5071504398904505,Figure 3.3,L7,pv_CHN_2022,6.806956145575944,0.04548540441075488
