model_id,technology,iso3,country,fit_end,n,df_resid,first_year,last_year,observed_years,source_sheet,R2,adjusted_R2,RMSE_log,max_VIF,joint_F_HAC,joint_p_HAC,small_sample,outcome,inference,Q_definition,K_definition,imputed_observations
pv_AUS_2022,pv,AUS,Australia,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,0.979282776391492,0.9723770351886559,0.09822638135419184,3.926955749591097,222.95414480481134,9.212166413546064e-09,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_BRA_2022,pv,BRA,Brazil,2022,11,7,2011,2022,"2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,0.954209268801214,0.9345846697160201,0.15269480372395114,5.421318345047562,666.6374735559551,5.826742249305843e-09,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_CHN_2022,pv,CHN,China,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,0.9848273559254306,0.9797698079005741,0.07528566917721494,3.926955749591097,389.9526189399216,7.654796006692494e-10,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_DEU_2022,pv,DEU,Germany,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,0.9614813856990375,0.9486418475987167,0.10202629264527097,3.926955749591097,202.23160828372298,1.4194270755871454e-08,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_ESP_2022,pv,ESP,Spain,2022,10,6,2010,2022,"2010,2011,2012,2013,2014,2015,2019,2020,2021,2022",Figure 3.3,0.9645973108848759,0.9468959663273138,0.127627100096694,3.5124659738379522,391.85541239357525,2.8588999490523354e-07,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_FRA_2022,pv,FRA,France,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,0.9293678541135322,0.9058238054847095,0.1852109631027859,3.926955749591097,56.119358000413904,3.7829438921127666e-06,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_GRC_2022,pv,GRC,Greece,2022,9,5,2010,2022,"2010,2011,2012,2013,2017,2018,2020,2021,2022",Figure 3.3,0.8433522949686871,0.7493636719498994,0.24542694806359378,4.095692533865163,12.318007472886583,0.009553446391200045,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_IND_2022,pv,IND,India,2022,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,0.9707089383623515,0.960945251149802,0.12327337546501713,3.926955749591097,311.6621657277217,2.0788549246944614e-09,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_ITA_2022,pv,ITA,Italy,2022,11,7,2010,2022,"2010,2011,2012,2013,2014,2017,2018,2019,2020,2021,2022",Figure 3.3,0.9865432458469962,0.9807760654957088,0.08314744755461771,3.8611851302398157,659.8826306949844,6.0373464925327935e-09,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_JPN_2022,pv,JPN,Japan,2022,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,0.9638827667168361,0.9503388042356498,0.06749889443685114,5.697238152577645,158.33391835285747,1.8397921171383978e-07,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_KOR_2022,pv,KOR,Republic of Korea,2022,12,8,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",Figure 3.3,0.9508651393694482,0.9324395666329912,0.11518637590214598,5.697238152577645,85.75396599807084,2.011204774226063e-06,False,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_NLD_2022,pv,NLD,Netherlands,2022,7,3,2016,2022,"2016,2017,2018,2019,2020,2021,2022",Figure 3.3,0.334597877073049,-0.330804245853902,0.10702220130697493,44.516450380295616,1.1324901943457366,0.4604726986074988,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
pv_TUR_2022,pv,TUR,Türkiye,2022,7,3,2016,2022,"2016,2017,2018,2019,2020,2021,2022",Figure 3.3,0.9932677023396419,0.9865354046792838,0.024715233471492435,44.516450380295616,390.61217355667867,0.00021889286360163133,True,ln IRENA total installed cost (2024 USD/kW),calendar-year HAC(1); n/df correction; two-sided Student t,global cumulative installed capacity,GLOBAL citation-weighted patent index; fixed 2010-2012 weights,0
