technology,country,year,tic,unit,source_sheet,source_cell,source_status,imputed,Q_global_gw,Q_china_gw,Q_no_china_gw,H_global,H_china_origin,H_foreign_citing_china,H_no_china_origin,initialization,delta,material,material_scope,Q_freeze_china2010_gw,H_freeze_china2010,china_Q_fraction,china_H_fraction,receiver,weight_base,K_access_global,K_access_china,K_access_no_china,K_access_freeze_china2010,patent_stock_global,patent_stock_china,china_access_fraction,weight_china,citation_origin_coverage,logQ,logK,logM,logC,iso3
pv,Australia,2010,8226.006707647639,2024 USD/kW,Figure 3.3,C5,IRENA_reported_cell,False,39.73239,0.864,38.868390000000005,418700.0,5190.0,3980.0,413510.0,steady_2010,0.1,86.15882929323459,polysilicon common market price; 2023-2024 manual estimates,39.73239,418700.0,0.0217454827157389,0.0123955099116312,GLOBAL,base2010_2012,4500.935160824272,147.03591615339772,4353.899244670874,4500.935160824272,36781.0,10611.6,0.0326678592113889,0.0138561495112327,0.9967157618169415,3.682166724070565,8.41226261905827,4.456192445165693,9.015055964210367,AUS
pv,Brazil,2010,,2024 USD/kW,Figure 3.3,C6,source_blank,False,39.73239,0.864,38.868390000000005,418700.0,5190.0,3980.0,413510.0,steady_2010,0.1,86.15882929323459,polysilicon common market price; 2023-2024 manual estimates,39.73239,418700.0,0.0217454827157389,0.0123955099116312,GLOBAL,base2010_2012,4500.935160824272,147.03591615339772,4353.899244670874,4500.935160824272,36781.0,10611.6,0.0326678592113889,0.0138561495112327,0.9967157618169415,3.682166724070565,8.41226261905827,4.456192445165693,,BRA
pv,China,2010,4291.432902265811,2024 USD/kW,Figure 3.3,C7,IRENA_reported_cell,False,39.73239,0.864,38.868390000000005,418700.0,5190.0,3980.0,413510.0,steady_2010,0.1,86.15882929323459,polysilicon common market price; 2023-2024 manual estimates,39.73239,418700.0,0.0217454827157389,0.0123955099116312,GLOBAL,base2010_2012,4500.935160824272,147.03591615339772,4353.899244670874,4500.935160824272,36781.0,10611.6,0.0326678592113889,0.0138561495112327,0.9967157618169415,3.682166724070565,8.41226261905827,4.456192445165693,8.36437596600536,CHN
pv,France,2010,6514.65732422562,2024 USD/kW,Figure 3.3,C8,IRENA_reported_cell,False,39.73239,0.864,38.868390000000005,418700.0,5190.0,3980.0,413510.0,steady_2010,0.1,86.15882929323459,polysilicon common market price; 2023-2024 manual estimates,39.73239,418700.0,0.0217454827157389,0.0123955099116312,GLOBAL,base2010_2012,4500.935160824272,147.03591615339772,4353.899244670874,4500.935160824272,36781.0,10611.6,0.0326678592113889,0.0138561495112327,0.9967157618169415,3.682166724070565,8.41226261905827,4.456192445165693,8.78180989020565,FRA
pv,Germany,2010,4412.429498946073,2024 USD/kW,Figure 3.3,C9,IRENA_reported_cell,False,39.73239,0.864,38.868390000000005,418700.0,5190.0,3980.0,413510.0,steady_2010,0.1,86.15882929323459,polysilicon common market price; 2023-2024 manual estimates,39.73239,418700.0,0.0217454827157389,0.0123955099116312,GLOBAL,base2010_2012,4500.935160824272,147.03591615339772,4353.899244670874,4500.935160824272,36781.0,10611.6,0.0326678592113889,0.0138561495112327,0.9967157618169415,3.682166724070565,8.41226261905827,4.456192445165693,8.39218072353795,DEU
pv,Greece,2010,5628.192471733896,2024 USD/kW,Figure 3.3,C10,IRENA_reported_cell,False,39.73239,0.864,38.868390000000005,418700.0,5190.0,3980.0,413510.0,steady_2010,0.1,86.15882929323459,polysilicon common market price; 2023-2024 manual estimates,39.73239,418700.0,0.0217454827157389,0.0123955099116312,GLOBAL,base2010_2012,4500.935160824272,147.03591615339772,4353.899244670874,4500.935160824272,36781.0,10611.6,0.0326678592113889,0.0138561495112327,0.9967157618169415,3.682166724070565,8.41226261905827,4.456192445165693,8.635543616607201,GRC
pv,India,2010,6015.812576430637,2024 USD/kW,Figure 3.3,C11,IRENA_reported_cell,False,39.73239,0.864,38.868390000000005,418700.0,5190.0,3980.0,413510.0,steady_2010,0.1,86.15882929323459,polysilicon common market price; 2023-2024 manual estimates,39.73239,418700.0,0.0217454827157389,0.0123955099116312,GLOBAL,base2010_2012,4500.935160824272,147.03591615339772,4353.899244670874,4500.935160824272,36781.0,10611.6,0.0326678592113889,0.0138561495112327,0.9967157618169415,3.682166724070565,8.41226261905827,4.456192445165693,8.702146710960637,IND
pv,Italy,2010,6078.874297702453,2024 USD/kW,Figure 3.3,C12,IRENA_reported_cell,False,39.73239,0.864,38.868390000000005,418700.0,5190.0,3980.0,413510.0,steady_2010,0.1,86.15882929323459,polysilicon common market price; 2023-2024 manual estimates,39.73239,418700.0,0.0217454827157389,0.0123955099116312,GLOBAL,base2010_2012,4500.935160824272,147.03591615339772,4353.899244670874,4500.935160824272,36781.0,10611.6,0.0326678592113889,0.0138561495112327,0.9967157618169415,3.682166724070565,8.41226261905827,4.456192445165693,8.71257480941393,ITA
pv,Japan,2010,,2024 USD/kW,Figure 3.3,C13,source_blank,False,39.73239,0.864,38.868390000000005,418700.0,5190.0,3980.0,413510.0,steady_2010,0.1,86.15882929323459,polysilicon common market price; 2023-2024 manual estimates,39.73239,418700.0,0.0217454827157389,0.0123955099116312,GLOBAL,base2010_2012,4500.935160824272,147.03591615339772,4353.899244670874,4500.935160824272,36781.0,10611.6,0.0326678592113889,0.0138561495112327,0.9967157618169415,3.682166724070565,8.41226261905827,4.456192445165693,,JPN
pv,Netherlands,2010,,2024 USD/kW,Figure 3.3,C14,source_blank,False,39.73239,0.864,38.868390000000005,418700.0,5190.0,3980.0,413510.0,steady_2010,0.1,86.15882929323459,polysilicon common market price; 2023-2024 manual estimates,39.73239,418700.0,0.0217454827157389,0.0123955099116312,GLOBAL,base2010_2012,4500.935160824272,147.03591615339772,4353.899244670874,4500.935160824272,36781.0,10611.6,0.0326678592113889,0.0138561495112327,0.9967157618169415,3.682166724070565,8.41226261905827,4.456192445165693,,NLD
