model_id,technology,series,spec,n,df_resid,first_year,last_year,years,difference,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars
wind__USA_WM_only__main_level,wind,USA_WM_only,main_level,12,10,2013,2024,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,7.315176307878916,0.6247851279516743,3.680852152850542e-07,5.923068290159906,8.707284325597927,***
wind__USA_WM_only__main_level,wind,USA_WM_only,main_level,12,10,2013,2024,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.04985803915026077,0.09892348653484871,0.6251748412588276,-0.27027330287038764,0.1705572245698661,
wind__USA_WM_only__annual_difference,wind,USA_WM_only,annual_difference,11,9,2014,2024,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,const,-0.02542472674345577,0.07687202113449723,0.7484100344707175,-0.1993213199759304,0.14847186648901883,
wind__USA_WM_only__annual_difference,wind,USA_WM_only,annual_difference,11,9,2014,2024,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logQ,0.20957327412269644,0.48679927020529223,0.6769485379280586,-0.8916431818443534,1.3107897300897462,
wind__USA_overlap_calibrated__main_level,wind,USA_overlap_calibrated,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,8.61947465315059,0.5418217205455913,6.670124864708736e-10,7.448939990694116,9.790009315607064,***
wind__USA_overlap_calibrated__main_level,wind,USA_overlap_calibrated,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.2270321948995928,0.09020693482849146,0.025759508370129955,-0.42191242949848706,-0.032151960300698584,**
wind__USA_overlap_calibrated__annual_difference,wind,USA_overlap_calibrated,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,const,0.054947819606056415,0.10470835307262062,0.609301226551751,-0.17319208344149634,0.28308772265360915,
wind__USA_overlap_calibrated__annual_difference,wind,USA_overlap_calibrated,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logQ,-0.6269365735116466,0.7723394265557915,0.43274972626991304,-2.309719624946292,1.0558464779229988,
wind__USA_unscaled_switch__main_level,wind,USA_unscaled_switch,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,const,9.310732842712145,0.5390147479325401,2.3927327548024664e-10,8.146262275908452,10.475203409515839,***
wind__USA_unscaled_switch__main_level,wind,USA_unscaled_switch,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,logQ,-0.3529053575332428,0.09144705463307601,0.0019731190285068654,-0.5504647080882181,-0.15534600697826756,***
wind__USA_unscaled_switch__annual_difference,wind,USA_unscaled_switch,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,const,0.008095078571271166,0.12627582148723424,0.9499410901107871,-0.2670363013614023,0.2832264585039446,
wind__USA_unscaled_switch__annual_difference,wind,USA_unscaled_switch,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,logQ,-0.34603004746249055,0.8750670916279581,0.6994632757343107,-2.2526374535177394,1.560577358592758,
