model_id,year,y,logQ,fitted,residual
wind__USA_WM_only__main_level,2013,7.115351598756823,5.677698971893068,7.032097370254876,0.0832542285019473
wind__USA_WM_only__main_level,2014,7.110639900562935,5.830825584658366,7.024462777600677,0.08617712296225832
wind__USA_WM_only__main_level,2015,7.10114937627309,6.002024865148459,7.015927117171506,0.08522225910158454
wind__USA_WM_only__main_level,2016,7.01142014295884,6.114760027948734,7.010306363010999,0.0011137799478406762
wind__USA_WM_only__main_level,2017,6.901260403666968,6.205934995565976,7.005760557906014,-0.10450015423904624
wind__USA_WM_only__main_level,2018,6.841268120354597,6.290532398624406,7.001542697272317,-0.16027457691772007
wind__USA_WM_only__main_level,2019,6.889546422280923,6.38729428375806,6.99671833941507,-0.10717191713414653
wind__USA_WM_only__main_level,2020,6.898344747314751,6.548699273994664,6.988671003092806,-0.09032625577805486
wind__USA_WM_only__main_level,2021,6.938410059627669,6.645448863841342,6.983847258254459,-0.04543719862678941
wind__USA_WM_only__main_level,2022,6.968801137620898,6.733146895042726,6.979474806381419,-0.010673668760521338
wind__USA_WM_only__main_level,2023,7.10114937627309,6.849202095255681,6.97368852166561,0.12746085460748002
wind__USA_WM_only__main_level,2024,7.103530464761301,6.955776347473294,6.968374938426135,0.1351555263351658
wind__USA_WM_only__annual_difference,2014,-0.004711698193887948,0.15312661276529838,0.006666518849086096,-0.011378217042974044
wind__USA_WM_only__annual_difference,2015,-0.00949052428984487,0.17119928049009303,0.010454066996302892,-0.019944591286147763
wind__USA_WM_only__annual_difference,2016,-0.08972923331425076,0.11273516280027529,-0.0017984495666468654,-0.0879307837476039
wind__USA_WM_only__annual_difference,2017,-0.11015973929187162,0.09117496761724198,-0.006316890261879548,-0.10384284902999207
wind__USA_WM_only__annual_difference,2018,-0.059992283312371164,0.08459740305842978,-0.0076953720022232275,-0.05229691131014794
wind__USA_WM_only__annual_difference,2019,0.04827830192632643,0.09676188513365425,-0.005146021665711584,0.05342432359203801
wind__USA_WM_only__annual_difference,2020,0.008798325033827936,0.16140499023660393,0.008401445520171164,0.00039687951365677265
wind__USA_WM_only__annual_difference,2021,0.04006531231291799,0.09674958984667725,-0.005148598429259632,0.04521391074217762
wind__USA_WM_only__annual_difference,2022,0.0303910779932286,0.0876980312013842,-0.007045563210467294,0.03743664120369589
wind__USA_WM_only__annual_difference,2023,0.13234823865219258,0.1160552002129549,-0.001102658455861754,0.13345089710805433
wind__USA_WM_only__annual_difference,2024,0.002381088488210281,0.10657425221761319,-0.0030896117690325346,0.005470700257242816
wind__USA_overlap_calibrated__main_level,2010,7.604615199798734,5.180162236673185,7.443411050622693,0.16120414917604098
wind__USA_overlap_calibrated__main_level,2011,7.501479332005597,5.376417249698097,7.398854844255599,0.10262448774999822
wind__USA_overlap_calibrated__main_level,2012,7.3497095830794645,5.56590362647905,7.355835336231448,-0.006125753151983382
wind__USA_overlap_calibrated__main_level,2013,7.3662586127152725,5.677698971893068,7.330454193582545,0.03580441913272736
wind__USA_overlap_calibrated__main_level,2014,7.2063921487520215,5.830825584658366,7.2956895225889,-0.08929737383687808
wind__USA_overlap_calibrated__main_level,2015,7.374844082652509,6.002024865148459,7.256821774174003,0.11802230847850659
wind__USA_overlap_calibrated__main_level,2016,7.019693306504983,6.114760027948734,7.231227262721093,-0.21153395621611004
wind__USA_overlap_calibrated__main_level,2017,7.058417186685242,6.205934995565976,7.2105276097030515,-0.15211042301780964
wind__USA_overlap_calibrated__main_level,2018,6.998424903372872,6.290532398624406,7.19132127560389,-0.19289637223101863
wind__USA_overlap_calibrated__main_level,2019,7.046703205299198,6.38729428375806,7.169353212439375,-0.1226500071401766
wind__USA_overlap_calibrated__main_level,2020,7.055501530333026,6.548699273994664,7.132709083238211,-0.07720755290518522
wind__USA_overlap_calibrated__main_level,2021,7.095566842645944,6.645448863841342,7.110743811499685,-0.015176968853740647
wind__USA_overlap_calibrated__main_level,2022,7.1259579206391725,6.733146895042726,7.090833534987661,0.035124385651511325
wind__USA_overlap_calibrated__main_level,2023,7.258306159291365,6.849202095255681,7.064485268153803,0.1938208911375625
wind__USA_overlap_calibrated__main_level,2024,7.2606872477795745,6.955776347473294,7.040289481753055,0.22039776602651973
wind__USA_overlap_calibrated__annual_difference,2011,-0.10313586779313688,0.19625501302491166,-0.06809162579426525,-0.03504424199887163
wind__USA_overlap_calibrated__annual_difference,2012,-0.1517697489261325,0.1894863767809527,-0.06384812018013089,-0.0879216287460016
wind__USA_overlap_calibrated__annual_difference,2013,0.016549029635807955,0.11179534541401814,-0.01514077118235909,0.031689800818167045
wind__USA_overlap_calibrated__annual_difference,2014,-0.159866463963251,0.15312661276529838,-0.0410528543144645,-0.11881360964878648
wind__USA_overlap_calibrated__annual_difference,2015,0.16845193390048774,0.17119928049009303,-0.052383270692061785,0.22083520459254952
wind__USA_overlap_calibrated__annual_difference,2016,-0.3551507761475259,0.11273516280027529,-0.01572997707422582,-0.3394207990733001
wind__USA_overlap_calibrated__annual_difference,2017,0.03872388018025852,0.09117496761724198,-0.0022131021819326024,0.04093698236219112
wind__USA_overlap_calibrated__annual_difference,2018,-0.059992283312370276,0.08459740305842978,0.0019106136046207617,-0.06190289691699104
wind__USA_overlap_calibrated__annual_difference,2019,0.04827830192632643,0.09676188513365425,-0.005715745106164308,0.053994047032490736
wind__USA_overlap_calibrated__annual_difference,2020,0.008798325033827936,0.16140499023660393,-0.04624287192056082,0.055041196954388756
wind__USA_overlap_calibrated__annual_difference,2021,0.04006531231291799,0.09674958984667725,-0.0057080367410766095,0.0457733490539946
wind__USA_overlap_calibrated__annual_difference,2022,0.0303910779932286,0.0876980312013842,-3.3283579056860024e-05,0.03042436157228546
wind__USA_overlap_calibrated__annual_difference,2023,0.13234823865219258,0.1160552002129549,-0.017811429953661646,0.15015966860585422
wind__USA_overlap_calibrated__annual_difference,2024,0.002381088488209393,0.10657425221761319,-0.01186747690382,0.014248565392029393
wind__USA_unscaled_switch__main_level,2010,7.604615199798734,5.180162236673185,7.482625836498792,0.12198936329994226
wind__USA_unscaled_switch__main_level,2011,7.501479332005597,5.376417249698097,7.413366390959544,0.08811294104605327
wind__USA_unscaled_switch__main_level,2012,7.3497095830794645,5.56590362647905,7.3464956334139835,0.003213949665481053
wind__USA_unscaled_switch__main_level,2013,7.3662586127152725,5.677698971893068,7.3070424570700965,0.059216155645176016
wind__USA_unscaled_switch__main_level,2014,7.2063921487520215,5.830825584658366,7.253003255044305,-0.04661110629228382
wind__USA_unscaled_switch__main_level,2015,7.374844082652509,6.002024865148459,7.192586111753515,0.18225797089899398
wind__USA_unscaled_switch__main_level,2016,7.019693306504983,6.114760027948734,7.152801268818916,-0.1331079623139324
wind__USA_unscaled_switch__main_level,2017,6.901260403666968,6.205934995565976,7.120625134273871,-0.21936473060690265
wind__USA_unscaled_switch__main_level,2018,6.841268120354597,6.290532398624406,7.090770257501152,-0.24950213714655511
wind__USA_unscaled_switch__main_level,2019,6.889546422280923,6.38729428375806,7.056622469832469,-0.1670760475515456
wind__USA_unscaled_switch__main_level,2020,6.898344747314751,6.548699273994664,6.9996617840453705,-0.10131703673061931
wind__USA_unscaled_switch__main_level,2021,6.938410059627669,6.645448863841342,6.965518335449334,-0.027108275821665195
wind__USA_unscaled_switch__main_level,2022,6.968801137620898,6.733146895042726,6.934569230393248,0.03423190722764957
wind__USA_unscaled_switch__main_level,2023,7.10114937627309,6.849202095255681,6.893612728468503,0.20753664780458703
wind__USA_unscaled_switch__main_level,2024,7.103530464761301,6.955776347473294,6.8560021038858086,0.24752836087549213
wind__USA_unscaled_switch__annual_difference,2011,-0.10313586779313688,0.19625501302491166,-0.05981505290049071,-0.04332081489264617
wind__USA_unscaled_switch__annual_difference,2012,-0.1517697489261325,0.1894863767809527,-0.05747290137973727,-0.09429684754639522
wind__USA_unscaled_switch__annual_difference,2013,0.016549029635807955,0.11179534541401814,-0.030589470108427053,0.04713849974423501
wind__USA_unscaled_switch__annual_difference,2014,-0.159866463963251,0.15312661276529838,-0.04489133051167544,-0.11497513345157556
wind__USA_unscaled_switch__annual_difference,2015,0.16845193390048774,0.17119928049009303,-0.05114501658225996,0.2195969504827477
wind__USA_unscaled_switch__annual_difference,2016,-0.3551507761475259,0.11273516280027529,-0.030914675163199692,-0.3242361009843262
wind__USA_unscaled_switch__annual_difference,2017,-0.11843290283801533,0.09117496761724198,-0.023454199800714115,-0.09497870303730122
wind__USA_unscaled_switch__annual_difference,2018,-0.059992283312371164,0.08459740305842978,-0.02117816482424073,-0.038814118488130434
wind__USA_unscaled_switch__annual_difference,2019,0.04827830192632643,0.09676188513365425,-0.025387441134087273,0.07366574306041371
wind__USA_unscaled_switch__annual_difference,2020,0.008798325033827936,0.16140499023660393,-0.04775589786098371,0.05655422289481165
wind__USA_unscaled_switch__annual_difference,2021,0.04006531231291799,0.09674958984667725,-0.025383186595351055,0.06544849890826904
wind__USA_unscaled_switch__annual_difference,2022,0.0303910779932286,0.0876980312013842,-0.022251075327710784,0.05264215332093938
wind__USA_unscaled_switch__annual_difference,2023,0.13234823865219258,0.1160552002129549,-0.032063507866686464,0.16441174651887905
wind__USA_unscaled_switch__annual_difference,2024,0.002381088488210281,0.10657425221761319,-0.028782814981868965,0.031163903470079246
