model_id,series,spec,with_G,difference,n,df_resid,first_year,last_year,years,R2,adjusted_R2,VIF_G,corr_logQ_logG,joint_F_HAC,joint_p_HAC
china_domestic__experience_only,china_domestic,experience_only,False,False,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.7349338524611367,0.7145441488043012,,0.6954059281209976,17.186499449603694,0.0011505160238756825
china_domestic__experience_plus_lnG,china_domestic,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.8745856971318426,0.8536833133204831,1.9364436156469147,0.6954059281209976,25.444968898323825,4.826146324880313e-05
china_domestic__difference_plus_lnG,china_domestic,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.10139771727223712,-0.061984515950992636,2.0051850762392878,0.7080204214024446,0.6988394503210315,0.5179497844047581
nordex_global__experience_only,nordex_global,experience_only,False,False,9,7,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0.6558991374168248,0.6067418713335141,,-0.926754545691296,9.682874070532808,0.017039828913449493
nordex_global__experience_plus_lnG,nordex_global,experience_plus_lnG,True,False,9,6,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0.8901445690389667,0.8535260920519556,7.085865926069371,-0.926754545691296,457.72138286114574,2.7608871598696663e-07
nordex_global__difference_plus_lnG,nordex_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",0.33941002584303626,0.07517403618025087,1.301684713358607,-0.4814195803783362,9.952560215250163,0.018059403249784216
sgre_global__experience_only,sgre_global,experience_only,False,False,9,7,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0.823980264866623,0.7988345884189978,,-0.926754545691296,23.436642005321545,0.0018752981376490843
sgre_global__experience_plus_lnG,sgre_global,experience_plus_lnG,True,False,9,6,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9369894098647998,0.9159858798197331,7.085865926069371,-0.926754545691296,101.49846473191624,2.366105114746258e-05
sgre_global__difference_plus_lnG,sgre_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",0.3831001230868861,0.13634017232164064,1.301684713358607,-0.4814195803783362,8.663472737516777,0.023732950388567056
us_project_5_100mw__experience_only,us_project_5_100mw,experience_only,False,False,6,4,2010,2015,"2010,2011,2012,2013,2014,2015",0.6969206318164709,0.6211507897705886,,0.9859990588189522,10.470181277572461,0.03180124033726915
us_project_5_100mw__experience_plus_lnG,us_project_5_100mw,experience_plus_lnG,True,False,6,3,2010,2015,"2010,2011,2012,2013,2014,2015",0.8150733315254939,0.6917888858758231,35.96364735929308,0.9859990588189522,21.71962639223498,0.016419277663606596
us_project_5_100mw__difference_plus_lnG,us_project_5_100mw,difference_plus_lnG,True,True,5,2,2011,2015,"2011,2012,2013,2014,2015",0.14340501063220457,-0.7131899787355909,1.5865658043736828,0.6080360452502482,4.44797470607428,0.1835544498554736
us_project_gt100mw__experience_only,us_project_gt100mw,experience_only,False,False,6,4,2010,2016,"2010,2011,2013,2014,2015,2016",0.5265586643913384,0.408198330489173,,0.9812073993540293,16.769933400337425,0.01491257914071473
us_project_gt100mw__experience_plus_lnG,us_project_gt100mw,experience_plus_lnG,True,False,6,3,2010,2016,"2010,2011,2013,2014,2015,2016",0.5266206099979995,0.21103434999666582,26.858587783379207,0.9812073993540293,10.522418739967211,0.044070615202308164
vestas_asp__experience_only,vestas_asp,experience_only,False,False,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.6734294783361131,0.6483086689773526,,0.6954059281209976,24.509545741351232,0.0002651025319146299
vestas_asp__experience_plus_lnG,vestas_asp,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.7748161337135473,0.7372854893324718,1.9364436156469147,0.6954059281209976,17.334019510962484,0.00028904812882207256
vestas_asp__difference_plus_lnG,vestas_asp,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.08823400020111316,-0.07754163612595733,2.0051850762392878,0.7080204214024446,1.518968135236475,0.26151210879124415
