model_id,series,spec,with_G,difference,n,df_resid,first_year,last_year,years,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_all_slopes_within_spec,p_BH_knowledge_within_spec
china_domestic__experience_only,china_domestic,experience_only,False,False,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",const,10.754774353893588,1.022598128827848,9.993114577305909e-08,8.545585408218223,12.963963299568952,***,,
china_domestic__experience_only,china_domestic,experience_only,False,False,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,-0.7209200284230962,0.17389751537715217,0.0011505160238756828,-1.0966027700803427,-0.3452372867658497,***,0.0034515480716270485,
china_domestic__experience_plus_lnG,china_domestic,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",const,9.009580615756391,0.6818431079803008,1.6416317135704563e-08,7.5239721042713334,10.49518912724145,***,,
china_domestic__experience_plus_lnG,china_domestic,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,-1.6304103712530291,0.3676115260379388,0.000813731337806399,-2.4313670805166376,-0.8294536619894206,***,0.004882388026838394,
china_domestic__experience_plus_lnG,china_domestic,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logG,0.9061497152748248,0.3042568250492049,0.011523389037859271,0.2432310413449592,1.5690683892046904,**,0.03457016711357782,0.023046778075718543
china_domestic__difference_plus_lnG,china_domestic,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",const,-0.13102964297047487,0.1909580145872876,0.5068114261986483,-0.5513253992759981,0.28926611333504837,,,
china_domestic__difference_plus_lnG,china_domestic,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,-0.17510745510650527,1.6204327375567118,0.9158922879991389,-3.741655863381416,3.391440953168405,,0.9158922879991389,
china_domestic__difference_plus_lnG,china_domestic,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logG,0.311117581861214,0.4223079953355977,0.47671890533892136,-0.6183760488568157,1.2406112125792437,,0.7945315088982023,0.5958986316736516
nordex_global__experience_only,nordex_global,experience_only,False,False,9,7,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",const,9.134176439021136,0.7168750480758138,4.2475009715186355e-06,7.439036314979323,10.82931656306295,***,,
nordex_global__experience_only,nordex_global,experience_only,False,False,9,7,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,-0.3375042413896643,0.10846187130198369,0.01703982891344949,-0.5939758126434704,-0.08103267013585819,**,0.020447794696139387,
nordex_global__experience_plus_lnG,nordex_global,experience_plus_lnG,True,False,9,6,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",const,19.51082717055985,1.6470499497627236,2.188436217095504e-05,15.480641129057716,23.541013212061983,***,,
nordex_global__experience_plus_lnG,nordex_global,experience_plus_lnG,True,False,9,6,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,0.6620620441243474,0.20333936207997239,0.017336627646111245,0.16450854924660507,1.1596155390020897,**,0.04160790635066699,
nordex_global__experience_plus_lnG,nordex_global,experience_plus_lnG,True,False,9,6,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",logG,-1.9928336538600036,0.35088217934360855,0.0012839403168550495,-2.851411416851454,-1.1342558908685532,***,0.005135761267420198,0.0038518209505651485
nordex_global__difference_plus_lnG,nordex_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",const,0.06376789093317577,0.08589455811492717,0.49122921269205155,-0.15703109993706377,0.28456688180341533,,,
nordex_global__difference_plus_lnG,nordex_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",logQ,0.06131355674914246,0.46152277736544534,0.8994926078379873,-1.1250685114788939,1.247695624977179,,0.9158922879991389,
nordex_global__difference_plus_lnG,nordex_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",logG,-1.9343979522075325,0.47040319445749074,0.00924387346162013,-3.1436078593052548,-0.72518804510981,***,0.0924387346162013,0.04621936730810065
sgre_global__experience_only,sgre_global,experience_only,False,False,9,7,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",const,9.463427532121916,0.5315698800110931,4.3534664512826376e-07,8.206464502431418,10.720390561812414,***,,
sgre_global__experience_only,sgre_global,experience_only,False,False,9,7,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,-0.39339774124157545,0.08126137542669595,0.0018752981376490823,-0.5855503602933266,-0.20124512218982424,***,0.0037505962752981646,
sgre_global__experience_plus_lnG,sgre_global,experience_plus_lnG,True,False,9,6,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",const,16.305798085977074,0.9062753646525754,1.8961426311122294e-06,14.088222155807959,18.52337401614619,***,,
sgre_global__experience_plus_lnG,sgre_global,experience_plus_lnG,True,False,9,6,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,0.2657169476473804,0.11631691299512131,0.06241982255422612,-0.018900285248980186,0.550334180543741,*,0.10700541009295907,
sgre_global__experience_plus_lnG,sgre_global,experience_plus_lnG,True,False,9,6,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",logG,-1.3140758675108088,0.19117039773985445,0.00046732011142293367,-1.7818529793285562,-0.8462987556930616,***,0.004882388026838394,0.002803920668537602
sgre_global__difference_plus_lnG,sgre_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",const,0.11929483782871636,0.08547554217870382,0.22162856159817437,-0.10042703828702529,0.339016713944458,,,
sgre_global__difference_plus_lnG,sgre_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",logQ,-0.8235560545551875,0.47372377328268306,0.14262535224747894,-2.0413017812647483,0.39418967215437306,,0.4754178408249298,
sgre_global__difference_plus_lnG,sgre_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",logG,-1.3660346539145856,0.4613162636734957,0.03147641647255134,-2.5518858617972864,-0.18018344603188496,**,0.1573820823627567,0.07869104118137835
us_project_5_100mw__experience_only,us_project_5_100mw,experience_only,False,False,6,4,2010,2015,"2010,2011,2012,2013,2014,2015",const,9.275413032391732,0.5761219772020861,8.705379414205113e-05,7.675841988792122,10.874984075991343,***,,
us_project_5_100mw__experience_only,us_project_5_100mw,experience_only,False,False,6,4,2010,2015,"2010,2011,2012,2013,2014,2015",logQ,-0.3321169385855294,0.10263935766876348,0.031801240337269145,-0.6170894807856139,-0.047144396385444876,**,0.031801240337269145,
us_project_5_100mw__experience_plus_lnG,us_project_5_100mw,experience_plus_lnG,True,False,6,3,2010,2015,"2010,2011,2012,2013,2014,2015",const,8.121597606509738,0.35216438970708636,0.0001785873949482747,7.000853345633733,9.242341867385742,***,,
us_project_5_100mw__experience_plus_lnG,us_project_5_100mw,experience_plus_lnG,True,False,6,3,2010,2015,"2010,2011,2012,2013,2014,2015",logQ,0.6620014239254992,0.25407169705204363,0.07999015955866992,-0.1465681096350796,1.470570957486078,*,0.11998523933800488,
us_project_5_100mw__experience_plus_lnG,us_project_5_100mw,experience_plus_lnG,True,False,6,3,2010,2015,"2010,2011,2012,2013,2014,2015",logG,-0.5856172852200636,0.1493008697826928,0.029478381021901305,-1.0607592866357212,-0.11047528380440608,**,0.05895676204380261,0.04421757153285196
us_project_5_100mw__difference_plus_lnG,us_project_5_100mw,difference_plus_lnG,True,True,5,2,2011,2015,"2011,2012,2013,2014,2015",const,-0.18844740874561444,0.14694775702774013,0.3282563074340461,-0.820712576643746,0.44381775915251703,,,
us_project_5_100mw__difference_plus_lnG,us_project_5_100mw,difference_plus_lnG,True,True,5,2,2011,2015,"2011,2012,2013,2014,2015",logQ,2.111352483373693,1.3639903113127017,0.26172643529206985,-3.757424152874993,7.980129119622379,,0.5234528705841397,
