model_id,series,spec,with_G,difference,n,df_resid,first_year,last_year,years,R2,adjusted_R2,VIF_G,corr_logQ_logG,joint_F_HAC,joint_p_HAC
china_domestic__experience_only,china_domestic,experience_only,False,False,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.7349338524611367,0.7145441488043012,,0.951819472034615,17.186499449603694,0.0011505160238756825
china_domestic__experience_plus_lnG,china_domestic,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.8563488357970795,0.8324069750965928,10.633807616329797,0.951819472034615,20.03280678713998,0.00014989306210842055
china_domestic__difference_plus_lnG,china_domestic,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.07349553987256541,-0.0949598165142409,2.2753966753701866,0.748676291909428,0.5518231858681645,0.5910449653694857
nordex_global__experience_only,nordex_global,experience_only,False,False,9,7,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0.6558991374168248,0.6067418713335141,,0.978164779279606,9.682874070532808,0.017039828913449493
nordex_global__experience_plus_lnG,nordex_global,experience_plus_lnG,True,False,9,6,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9156145945079113,0.8874861260105483,23.15154339868967,0.978164779279606,413.43079541353484,3.7388259535095063e-07
nordex_global__difference_plus_lnG,nordex_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",0.4772228712460981,0.26811201974453736,1.1884862267603191,-0.3982380325768544,17.503962484290525,0.00552153644644416
sgre_global__experience_only,sgre_global,experience_only,False,False,9,7,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0.823980264866623,0.7988345884189978,,0.978164779279606,23.436642005321545,0.0018752981376490843
sgre_global__experience_plus_lnG,sgre_global,experience_plus_lnG,True,False,9,6,2016,2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9283972322769556,0.9045296430359407,23.15154339868967,0.978164779279606,144.41396051307328,8.42845400282097e-06
sgre_global__difference_plus_lnG,sgre_global,difference_plus_lnG,True,True,8,5,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",0.5088047437813561,0.31232664129389853,1.1884862267603191,-0.3982380325768544,5.62779147578666,0.05247091520631063
us_project_5_100mw__experience_only,us_project_5_100mw,experience_only,False,False,6,4,2010,2015,"2010,2011,2012,2013,2014,2015",0.6969206318164709,0.6211507897705886,,0.9851525194123566,10.470181277572461,0.03180124033726915
us_project_5_100mw__experience_plus_lnG,us_project_5_100mw,experience_plus_lnG,True,False,6,3,2010,2015,"2010,2011,2012,2013,2014,2015",0.8865550493182472,0.8109250821970787,33.927616825742135,0.9851525194123566,51.36032855040199,0.00478015634527733
us_project_5_100mw__difference_plus_lnG,us_project_5_100mw,difference_plus_lnG,True,True,5,2,2011,2015,"2011,2012,2013,2014,2015",0.5453221536890611,0.09064430737812224,1.6841441422701648,0.6373590794115305,1.8534960931983457,0.35044729950169595
us_project_gt100mw__experience_only,us_project_gt100mw,experience_only,False,False,6,4,2010,2016,"2010,2011,2013,2014,2015,2016",0.5265586643913384,0.408198330489173,,0.9841383146714507,16.769933400337425,0.01491257914071473
us_project_gt100mw__experience_plus_lnG,us_project_gt100mw,experience_plus_lnG,True,False,6,3,2010,2016,"2010,2011,2013,2014,2015,2016",0.5270163215071657,0.21169386917860944,31.77450008856969,0.9841383146714507,13.291930309682082,0.03229234699648482
vestas_asp__experience_only,vestas_asp,experience_only,False,False,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.6734294783361131,0.6483086689773526,,0.951819472034615,24.509545741351232,0.0002651025319146299
vestas_asp__experience_plus_lnG,vestas_asp,experience_plus_lnG,True,False,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.7444190314524303,0.7018222033611686,10.633807616329797,0.951819472034615,15.203291806363783,0.0005134377074519805
vestas_asp__difference_plus_lnG,vestas_asp,difference_plus_lnG,True,True,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.01866512893080452,-0.15975939308177645,2.2753966753701866,0.748676291909428,0.20333860519772662,0.8190010014174247
