series,year,logp,logQ,Q_global_gw,F_global_raw,F_global,G_depreciated,G_cumulative,G_global,logG
china_domestic,2010,6.812227576834841,5.180162236673185,177.71164000000002,468,468.0,1809.0,830,830,6.721425700790643
china_domestic,2011,6.709573802576824,5.376417249698097,216.24613,494,494.0,2122.1000000000004,1324,1324,7.188412736496954
china_domestic,2012,6.668427904138208,5.56590362647905,261.36127,572,572.0,2481.89,1896,1896,7.547501682814967
china_domestic,2013,6.708217182992296,5.677698971893068,292.27612,429,429.0,2662.701,2325,2325,7.751475318021456
china_domestic,2014,6.542006271937041,5.830825584658366,340.63979000000006,556,556.0,2952.4309000000003,2881,2881,7.9658927350845286
china_domestic,2015,6.43719187797247,6.002024865148459,404.24651,406,406.0,3063.187810000001,3287,3287,8.097730573664219
china_domestic,2016,6.455895595210555,6.114760027948734,452.48745,396,396.0,3152.869029,3683,3683,8.211482916445066
china_domestic,2017,6.469858035371506,6.205934995565976,495.6822,425,425.0,3262.582126100001,4108,4108,8.32069157104845
china_domestic,2018,6.460596296018196,6.290532398624406,539.4404499999999,323,323.0,3259.3239134900005,4431,4431,8.39638057119949
china_domestic,2019,6.398763921335831,6.38729428375806,594.24654,243,243.0,3176.391522141,4674,4674,8.449770515098804
china_domestic,2020,6.405635793293439,6.548699273994664,698.33524,226,226.0,3084.7523699269,4900,4900,8.496990484098719
china_domestic,2021,6.158994963306929,6.645448863841342,769.27527,265,265.0,3041.277132934209,5165,5165,8.549660381553739
china_domestic,2022,5.773504528965685,6.733146895042726,839.7858299999999,254,254.0,2991.1494196407893,5419,5419,8.597666575566114
china_domestic,2023,5.46170635729296,6.849202095255681,943.12808,188,188.0,2880.0344776767106,5607,5607,8.631771096123673
china_domestic,2024,5.272081898832534,6.955776347473294,1049.19276,199,199.0,2791.0310299090397,5806,5806,8.666647144584575
nordex_global,2016,7.193085649327715,6.114760027948734,452.48745,396,396.0,3152.869029,3683,3683,8.211482916445066
nordex_global,2017,7.041044438681148,6.205934995565976,495.6822,425,425.0,3262.582126100001,4108,4108,8.32069157104845
nordex_global,2018,7.007916430084566,6.290532398624406,539.4404499999999,323,323.0,3259.3239134900005,4431,4431,8.39638057119949
nordex_global,2019,6.864166470373297,6.38729428375806,594.24654,243,243.0,3176.391522141,4674,4674,8.449770515098804
nordex_global,2020,6.85524533669595,6.548699273994664,698.33524,226,226.0,3084.7523699269,4900,4900,8.496990484098719
nordex_global,2021,6.866779862302282,6.645448863841342,769.27527,265,265.0,3041.277132934209,5165,5165,8.549660381553739
nordex_global,2022,6.849371853944287,6.733146895042726,839.7858299999999,254,254.0,2991.1494196407893,5419,5419,8.597666575566114
nordex_global,2023,6.8337597080393655,6.849202095255681,943.12808,188,188.0,2880.0344776767106,5607,5607,8.631771096123673
nordex_global,2024,6.874325727796057,6.955776347473294,1049.19276,199,199.0,2791.0310299090397,5806,5806,8.666647144584575
sgre_global,2016,7.135743197695702,6.114760027948734,452.48745,396,396.0,3152.869029,3683,3683,8.211482916445066
sgre_global,2017,7.04476108981515,6.205934995565976,495.6822,425,425.0,3262.582126100001,4108,4108,8.32069157104845
sgre_global,2018,6.967525172448601,6.290532398624406,539.4404499999999,323,323.0,3259.3239134900005,4431,4431,8.39638057119949
sgre_global,2019,6.90181493070398,6.38729428375806,594.24654,243,243.0,3176.391522141,4674,4674,8.449770515098804
sgre_global,2020,6.826829914891703,6.548699273994664,698.33524,226,226.0,3084.7523699269,4900,4900,8.496990484098719
sgre_global,2021,6.777273878536515,6.645448863841342,769.27527,265,265.0,3041.277132934209,5165,5165,8.549660381553739
sgre_global,2022,6.819708171121091,6.733146895042726,839.7858299999999,254,254.0,2991.1494196407893,5419,5419,8.597666575566114
sgre_global,2023,6.8169215586185805,6.849202095255681,943.12808,188,188.0,2880.0344776767106,5607,5607,8.631771096123673
sgre_global,2024,6.775707709540408,6.955776347473294,1049.19276,199,199.0,2791.0310299090397,5806,5806,8.666647144584575
