model_id,technology,iso3,country_name,spec,n,df_resid,first_year,last_year,years,R2,adjusted_R2,RMSE_log,F_OLS,p_F_OLS,F_HAC,p_F_HAC,Durbin_Watson,equation
pv__AUS__main_level,pv,AUS,Australia,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.9336937633141803,0.9285932835691173,0.1848980451481456,183.05998846832736,4.893171360620768e-09,113.56464939504035,8.560495725769456e-08,1.5231775288131448,ln(B)=a+b ln(Q)
pv__AUS__annual_difference,pv,AUS,Australia,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.09632793634361714,0.021021931038918584,0.1977742215816853,1.279153448039912,0.28015397961295696,8.421019944128496,0.013279384790769922,2.098853254851591,delta ln(B)=a+b delta ln(Q)
pv__BRA__main_level,pv,BRA,Brazil,main_level,13,11,2011,2024,"2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.893324933598907,0.8836272002897168,0.2710925173179976,92.11687980245112,1.112534260900559e-06,78.28276984070453,2.4761875828619638e-06,1.8568249337857863,ln(B)=a+b ln(Q)
pv__BRA__annual_difference,pv,BRA,Brazil,annual_difference,11,9,2014,2024,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.19306126845723504,0.10340140939692788,0.3389279853789759,2.1532631266727487,0.17632288493620862,9.077891254615606,0.014645570425856964,2.616875479657765,delta ln(B)=a+b delta ln(Q)
pv__CHN__main_level,pv,CHN,China,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.901231249005457,0.8936336527751075,0.19145778943882316,118.62057704585386,6.62382999912794e-08,64.35239363571786,2.1699204173986836e-06,1.0176326071430688,ln(B)=a+b ln(Q)
pv__CHN__annual_difference,pv,CHN,China,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.2289369066689838,0.16468164889139913,0.14652248045387758,3.562928771703535,0.08349899723900606,16.92648782361042,0.001435501261352769,1.8689173299026858,delta ln(B)=a+b delta ln(Q)
pv__DEU__main_level,pv,DEU,Germany,main_level,15,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.7630552591403721,0.7448287406127084,0.23574469212477758,41.86511307588605,2.0986179260446868e-05,45.40086667155232,1.3875086316912561e-05,1.228813584214444,ln(B)=a+b ln(Q)
pv__DEU__annual_difference,pv,DEU,Germany,annual_difference,14,12,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.010206351236583533,-0.07227645282703454,0.27024078899961074,0.12373913996317953,0.7311136637173101,0.30016791962071365,0.5938220854976449,2.1382656867432726,delta ln(B)=a+b delta ln(Q)
pv__ESP__main_level,pv,ESP,Spain,main_level,12,10,2010,2024,"2010,2011,2012,2013,2014,2015,2019,2020,2021,2022,2023,2024",0.7560515509190906,0.7316567060109996,0.3259165143054655,30.992267168230036,0.00023835946468340907,47.22698082900677,4.339125827758824e-05,1.6403534914931637,ln(B)=a+b ln(Q)
pv__ESP__annual_difference,pv,ESP,Spain,annual_difference,10,8,2011,2024,"2011,2012,2013,2014,2015,2020,2021,2022,2023,2024",0.015871366985177437,-0.10714471214167531,0.4176089751567869,0.1290186380335783,0.7287476327215334,0.6119367295981416,0.45658680061987655,2.1439074810749057,delta ln(B)=a+b delta ln(Q)
