model_id,technology,series,spec,n,df_resid,first_year,last_year,years,difference,R2,adjusted_R2,max_VIF,joint_F_HAC,joint_p_HAC,RMSE_log,equation,inference_scope,country_proxy
pv__CHN__main_level,pv,CHN,main_level,14,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",False,0.988954462822594,0.986946183335793,2.222828856428781,403.32530658118833,5.111366840188853e-11,0.0809997079724872,ln(P)=a+b ln(Q)+d ln(M),conditional HAC on selected price series,False
pv__CHN__annual_difference,pv,CHN,annual_difference,12,9,2011,2022,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",True,0.76185015074192,0.7089279620179021,1.068907621570887,42.443330031952506,2.614410559093558e-05,0.0992499592605343,ln(P)=a+b ln(Q)+d ln(M),conditional HAC on selected price series,False
pv__DEU__main_level,pv,DEU,main_level,14,11,2010,2023,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",False,0.9768224053997828,0.9726082972906526,1.8223282452602296,191.0025938968638,2.8738838414973373e-09,0.0797091033803827,ln(P)=a+b ln(Q)+d ln(M),conditional HAC on selected price series,False
pv__DEU__annual_difference,pv,DEU,annual_difference,13,10,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",True,0.6770720015132266,0.6124864018158719,1.0708489023062102,47.38613792711866,7.920782927054572e-06,0.0937985683701728,ln(P)=a+b ln(Q)+d ln(M),conditional HAC on selected price series,False
pv__JPN__main_level,pv,JPN,main_level,10,7,2010,2019,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",False,0.8263998177266342,0.7767997656485297,5.60422056968143,23.472796425274566,0.0007870407954106,0.2253790439624886,ln(P)=a+b ln(Q)+d ln(M),conditional HAC on selected price series,False
pv__JPN__annual_difference,pv,JPN,annual_difference,9,6,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",True,0.0106376760265174,-0.3191497652979767,1.000237942434316,0.0923334072224647,0.9130715844708448,0.3003343472235502,ln(P)=a+b ln(Q)+d ln(M),conditional HAC on selected price series,False
pv__KOR__main_level,pv,KOR,main_level,8,5,2010,2019,"2010,2011,2012,2013,2015,2016,2017,2019",False,0.9237165501870817,0.8932031702619143,6.500062012259444,120.68944904390996,5.867002043624323e-05,0.15951874994605,ln(P)=a+b ln(Q)+d ln(M),conditional HAC on selected price series,False
pv__KOR__annual_difference,pv,KOR,annual_difference,5,2,2011,2017,"2011,2012,2013,2016,2017",True,0.0814979676342135,-0.8370040647315728,1.1220781741185706,0.5849234725901221,0.6309452899740167,0.2914682189995911,ln(P)=a+b ln(Q)+d ln(M),conditional HAC on selected price series,False
pv__USA__main_level,pv,USA,main_level,15,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",False,0.9105811423250408,0.8956779993792142,2.2046757969611592,39.07631008809314,5.561825454678857e-06,0.1992328437473479,ln(P)=a+b ln(Q)+d ln(M),conditional HAC on selected price series,False
pv__USA__annual_difference,pv,USA,annual_difference,14,11,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",True,0.143393450665511,-0.0123531946680324,1.0558926096149823,1.4075319793648062,0.2855741014758836,0.2363561496294418,ln(P)=a+b ln(Q)+d ln(M),conditional HAC on selected price series,False
