id,spec,term,coef_abs_error,se_abs_error
pv__CHN,main_level,const,0.0,3.747002708109903e-15
pv__CHN,main_level,logQ,0.0,9.08995101411847e-16
pv__CHN,main_level,logM,5.551115123125783e-17,2.0122792321330962e-16
pv__CHN,annual_difference,const,5.551115123125783e-17,1.457167719820518e-16
pv__CHN,annual_difference,logQ,0.0,1.3877787807814457e-17
pv__CHN,annual_difference,logM,0.0,0.0
pv__DEU,main_level,const,2.220446049250313e-16,8.604228440844963e-15
pv__DEU,main_level,logQ,0.0,1.249000902703301e-16
pv__DEU,main_level,logM,5.551115123125783e-17,6.591949208711867e-16
pv__DEU,annual_difference,const,2.7755575615628914e-17,9.020562075079397e-17
pv__DEU,annual_difference,logQ,0.0,5.551115123125783e-17
pv__DEU,annual_difference,logM,0.0,6.938893903907228e-17
pv__JPN,main_level,const,0.0,7.438494264988549e-14
pv__JPN,main_level,logQ,0.0,1.8207657603852567e-14
pv__JPN,main_level,logM,6.938893903907228e-18,5.9674487573602164e-15
pv__JPN,annual_difference,const,6.938893903907228e-17,5.551115123125783e-17
pv__JPN,annual_difference,logQ,5.551115123125783e-17,2.220446049250313e-16
pv__JPN,annual_difference,logM,8.326672684688674e-17,2.7755575615628914e-17
pv__KOR,main_level,const,0.0,1.6264767310758543e-13
pv__KOR,main_level,logQ,0.0,5.079270337660091e-15
pv__KOR,main_level,logM,4.163336342344337e-17,2.7450264283856995e-14
pv__KOR,annual_difference,const,9.540979117872439e-17,7.771561172376096e-16
pv__KOR,annual_difference,logQ,0.0,1.3322676295501878e-15
pv__KOR,annual_difference,logM,6.245004513516506e-17,1.1102230246251565e-16
pv__USA,main_level,const,0.0,8.548717289613705e-15
pv__USA,main_level,logQ,0.0,1.9845236565174673e-15
pv__USA,main_level,logM,0.0,4.996003610813204e-16
pv__USA,annual_difference,const,5.334274688628682e-17,0.0
pv__USA,annual_difference,logQ,5.551115123125783e-17,8.881784197001252e-16
pv__USA,annual_difference,logM,2.7755575615628914e-17,5.551115123125783e-17
wind__DEU_spliced_proxy,main_level,const,3.552713678800501e-15,2.2037927038809357e-14
wind__DEU_spliced_proxy,main_level,logQ,2.220446049250313e-16,4.038436252074007e-15
wind__DEU_spliced_proxy,annual_difference,const,6.591949208711867e-16,1.6653345369377348e-16
wind__DEU_spliced_proxy,annual_difference,logQ,5.329070518200751e-15,3.3306690738754696e-16
wind__DNK_vestas_proxy,main_level,const,1.7763568394002505e-15,8.770761894538737e-15
wind__DNK_vestas_proxy,main_level,logQ,5.551115123125783e-17,1.0547118733938987e-15
wind__DNK_vestas_proxy,annual_difference,const,4.7704895589362195e-17,1.3877787807814457e-16
wind__DNK_vestas_proxy,annual_difference,logQ,2.7755575615628914e-17,1.2212453270876722e-15
wind__china_domestic,main_level,const,0.0,5.773159728050814e-15
wind__china_domestic,main_level,logQ,0.0,2.498001805406602e-16
wind__china_domestic,annual_difference,const,5.551115123125783e-17,2.7755575615628914e-17
wind__china_domestic,annual_difference,logQ,0.0,2.220446049250313e-16
wind__USA_LBNL_WM_chain,main_level,const,0.0,1.176836406102666e-14
wind__USA_LBNL_WM_chain,main_level,logQ,0.0,2.8171909249863347e-15
wind__USA_LBNL_WM_chain,annual_difference,const,1.9255430583342559e-16,3.885780586188048e-16
