id,group,technology,series,spec,term,n,df_resid,years,coefficient,SE_HAC,p_raw,CI95_low,CI95_high,R2,LR_pct,LR_CI95_low,LR_CI95_high,q_BH
pv__CHN,equipment,pv,CHN,main_level,const,14,11,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",1.0531624883297273,0.22617527040160065,0.0006977855986238156,0.555354074598056,1.5509709020613984,0.988954462822594,,,,
pv__CHN,equipment,pv,CHN,main_level,logQ,14,11,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",-0.5094069001785779,0.02513454283654571,4.6348681663447735e-10,-0.5647276559672842,-0.4540861443898716,0.988954462822594,29.7488815297698,27.002758316796672,32.39169682963632,1.7121493940995455e-09
pv__CHN,equipment,pv,CHN,main_level,logM,14,11,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",0.36861374555792087,0.0343708981900675,3.659120984483986e-07,0.29296390870286043,0.4442635824129813,0.988954462822594,,,,
pv__CHN,equipment,pv,CHN,annual_difference,const,12,9,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.06900529333712525,0.046868736144014246,0.1750234880642661,-0.037019153844975394,0.1750297405192259,0.76185015074192,,,,
pv__CHN,equipment,pv,CHN,annual_difference,logQ,12,9,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",-0.8034463667762548,0.11316339083700301,5.667660531154921e-05,-1.059439741931039,-0.5474529916214705,0.76185015074192,42.70212129810888,31.577296754017347,52.018164322828206,0.000141691513278873
pv__CHN,equipment,pv,CHN,annual_difference,logM,12,9,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.3067053121943107,0.0727936688315034,0.00226156822382506,0.1420345928366961,0.4713760315519253,0.76185015074192,,,,
pv__CHN,equipment,pv,CHN,time_trend,const,14,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",0.9337637585406711,1.0521580882270298,0.3956667237491336,-1.410590556247128,3.27811807332847,0.9889673817161123,,,,
pv__CHN,equipment,pv,CHN,time_trend,logQ,14,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",-0.48289738557187256,0.2216171462313434,0.05433990404846506,-0.976691159351524,0.010896388207778829,0.9889673817161123,28.44608477156366,-0.758139510799638,49.185616076510854,0.06792488006058132
pv__CHN,equipment,pv,CHN,time_trend,logM,14,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",0.3718539943085567,0.05281635740267395,3.538767954192275e-05,0.2541718163603929,0.4895361722567205,0.9889673817161123,,,,
pv__CHN,equipment,pv,CHN,time_trend,trend,14,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",-0.006425944395214267,0.055341674115334936,0.9098608900457957,-0.1297348786243744,0.11688298983394588,0.9889673817161123,,,,
pv__DEU,equipment,pv,DEU,main_level,const,14,11,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",1.2596020385132933,0.1365362467673377,1.644488944054335e-06,0.9590877855649595,1.5601162914616271,0.9768224053997829,,,,
pv__DEU,equipment,pv,DEU,main_level,logQ,14,11,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",-0.3874765003794204,0.019827182399028174,6.848597576398182e-10,-0.4311158346059392,-0.34383716615290155,0.9768224053997829,23.55343942022453,21.205718557998722,25.831208591210054,1.7121493940995455e-09
pv__DEU,equipment,pv,DEU,main_level,logM,14,11,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.25751001246717925,0.03294485700235654,8.140202839625679e-06,0.1849988711039377,0.3300211538304208,0.9768224053997829,,,,
pv__DEU,equipment,pv,DEU,annual_difference,const,13,10,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.14607803626136542,0.04088725402371129,0.00507287969361669,0.054975557020974536,0.2371805155017563,0.6770720015132266,,,,
pv__DEU,equipment,pv,DEU,annual_difference,logQ,13,10,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",-1.0156112760633575,0.10749994727248945,2.6692702127428923e-06,-1.2551360851653737,-0.7760864669613414,0.6770720015132266,50.538128826202055,41.60513023164919,58.10459532286961,1.3346351063714461e-05
pv__DEU,equipment,pv,DEU,annual_difference,logM,13,10,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.1458473460974969,0.04266479631514987,0.006564520359267785,0.05078425581654092,0.24091043637845286,0.6770720015132266,,,,
pv__DEU,equipment,pv,DEU,time_trend,const,14,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",4.340423236043975,0.5241999318273548,8.699809299751977e-06,3.172433001742074,5.508413470345876,0.9887138629735002,,,,
pv__DEU,equipment,pv,DEU,time_trend,logQ,14,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",-1.0380695136774896,0.1102505180906361,2.7527100268626036e-06,-1.283722976484499,-0.79241605087048,0.9887138629735002,51.302133048896415,42.262363812085844,58.92657888055703,1.3763550134313018e-05
pv__DEU,equipment,pv,DEU,time_trend,logM,14,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.13666913489192045,0.0305107804918807,0.0011801665881002264,0.06868687947418714,0.20465139030965376,0.9887138629735002,,,,
pv__DEU,equipment,pv,DEU,time_trend,trend,14,10,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0.155981248793007,0.028045901646386328,0.000240169463670296,0.0934910856963062,0.2184714118897078,0.9887138629735002,,,,
pv__JPN,equipment,pv,JPN,main_level,const,10,7,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",3.878108316768624,1.1357930859008132,0.011219729737851979,1.1923844410561544,6.563832192481094,0.8263998177266342,,,,
pv__JPN,equipment,pv,JPN,main_level,logQ,10,7,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",-0.5739927583121232,0.133120887129681,0.0035152677916497426,-0.8887736364125126,-0.2592118802117337,0.8263998177266342,32.82449152358608,16.445576160177332,45.99269875027201,0.0035152677916497426
pv__JPN,equipment,pv,JPN,main_level,logM,10,7,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",0.033448424450511605,0.15460808006075824,0.8348896814889131,-0.3321415911533562,0.3990384400543794,0.8263998177266342,,,,
pv__JPN,equipment,pv,JPN,annual_difference,const,9,6,"2011,2012,2013,2014,2015,2016,2017,2018,2019",-0.11855084980993487,0.27425774411896464,0.6806552406949328,-0.789635374162914,0.5525336745430441,0.01063767602651744,,,,
pv__JPN,equipment,pv,JPN,annual_difference,logQ,9,6,"2011,2012,2013,2014,2015,2016,2017,2018,2019",-0.09673947645189596,0.7248554767953533,0.8981930931270382,-1.8703969329897832,1.6769179800859915,0.01063767602651744,6.485594809462924,-219.74415357051308,72.65018334037676,0.8981930931270382
pv__JPN,equipment,pv,JPN,annual_difference,logM,9,6,"2011,2012,2013,2014,2015,2016,2017,2018,2019",-0.08193567348642869,0.19207307779573604,0.6845624019354541,-0.5519215638307049,0.38805021685784746,0.01063767602651744,,,,
pv__JPN,equipment,pv,JPN,time_trend,const,10,6,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",4.645556268807136,5.002834448683592,0.3889340390025537,-7.595938632993054,16.887051170607325,0.8272562147910159,,,,
pv__JPN,equipment,pv,JPN,time_trend,logQ,10,6,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",-0.746036646646024,1.0462434392138382,0.5025843897533262,-3.306102117241036,1.8140288239489881,0.8272562147910159,40.37607094109319,-251.62284945147445,89.88969880095303,0.5025843897533262
pv__JPN,equipment,pv,JPN,time_trend,logM,10,6,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",0.011159977583556913,0.2641719955920126,0.9676740334104533,-0.6352456091711552,0.6575655643382691,0.8272562147910159,,,,
pv__JPN,equipment,pv,JPN,time_trend,trend,10,6,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",0.045244661634463834,0.2745345513442436,0.8745096599082902,-0.6265171855985329,0.7170065088674605,0.8272562147910159,,,,
pv__KOR,equipment,pv,KOR,main_level,const,8,5,"2010,2011,2012,2013,2015,2016,2017,2019",2.8489817899636107,0.5443641264764881,0.003371673837041277,1.4496492544711213,4.2483143254561,0.9237165501870817,,,,
pv__KOR,equipment,pv,KOR,main_level,logQ,8,5,"2010,2011,2012,2013,2015,2016,2017,2019",-0.6035999212061967,0.06965040103453302,0.0003381675042348622,-0.782641976950352,-0.42455786546204133,0.9237165501870817,34.189026008097265,25.493296697056188,41.8698706859605,0.0004227093802935777
pv__KOR,equipment,pv,KOR,main_level,logM,8,5,"2010,2011,2012,2013,2015,2016,2017,2019",0.06713788411500324,0.06528203397925755,0.3509042243074643,-0.10067492662546887,0.23495069485547534,0.9237165501870817,,,,
