technology,supplier,series,year,price_usd_kw,observed_or_constructed_input_price_usd_kw,beta,intercept,material_beta,Q_global_gw,material_price,outside_fit_years,baseline_price_type,model_id
pv,CHN,CHN,2010,2270.6250354815543,2361.1493952340747,-0.5094069001785779,1.0531624883297273,0.3686137455579208,39.73239,86.15882929323459,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2011,1732.0867985017794,1659.2384175334264,-0.5094069001785779,1.0531624883297273,0.3686137455579208,70.26885,90.89271081670634,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2012,1009.5479849931621,833.8275607552864,-0.5094069001785779,1.0531624883297273,0.3686137455579208,99.31435,33.89647685975435,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2013,717.5643894655738,749.0545000578583,-0.5094069001785779,1.0531624883297273,0.3686137455579208,134.44763,20.40384900784716,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2014,693.0711175800188,699.0226074119715,-0.5094069001785779,1.0531624883297273,0.3686137455579208,172.65223999999998,26.236154197080296,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2015,590.1313696901666,629.8291681948343,-0.5094069001785779,1.0531624883297273,0.3686137455579208,219.86211,23.688526001162742,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2016,468.76741419462576,521.4871782855456,-0.5094069001785779,1.0531624883297273,0.3686137455579208,291.30835,18.71342035548105,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2017,401.40400633342114,405.34053204200296,-0.5094069001785779,1.0531624883297273,0.3686137455579208,384.35013,18.018689295039167,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2018,367.78615155784,341.954784931793,-0.5094069001785779,1.0531624883297273,0.3686137455579208,478.49221,19.23805628676222,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2019,282.48497461032827,298.4415804150787,-0.5094069001785779,1.0531624883297273,0.3686137455579208,580.10487,12.26991633321208,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2020,253.59096118664755,275.7864282538956,-0.5094069001785779,1.0531624883297273,0.3686137455579208,710.6335,12.120389009740702,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2021,327.2604837903864,346.4040549812865,-0.5094069001785779,1.0531624883297273,0.3686137455579208,854.92824,31.256607742554525,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2022,315.87717213559927,302.580926235985,-0.5094069001785779,1.0531624883297273,0.3686137455579208,1045.85862,37.51555585928825,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2023,195.68035971721693,,-0.5094069001785779,1.0531624883297273,0.3686137455579208,1408.5874199999998,15.442415868619175,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,CHN,CHN,2024,109.4301787373887,97.27851766068319,-0.5094069001785779,1.0531624883297273,0.3686137455579208,1864.01976,4.7,False,fitted_exp_log_OLS_no_smearing,pv__CHN__main_level
pv,USA,USA,2010,2604.4682351451097,3080.5973606141206,-0.4906304306778069,2.0016384834923326,0.1710368422212794,39.73239,86.15882929323459,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2011,1987.0240461343935,2751.440299774658,-0.4906304306778069,2.0016384834923326,0.1710368422212794,70.26885,90.89271081670634,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2012,1416.5062414722493,1428.9661263907135,-0.4906304306778069,2.0016384834923326,0.1710368422212794,99.31435,33.89647685975435,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2013,1119.3776231386782,857.8204619561495,-0.4906304306778069,2.0016384834923326,0.1710368422212794,134.44763,20.40384900784716,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2014,1033.6178125172853,874.2690018790479,-0.4906304306778069,2.0016384834923326,0.1710368422212794,172.65223999999998,26.236154197080296,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2015,902.1254570889439,868.2084782452041,-0.4906304306778069,2.0016384834923326,0.1710368422212794,219.86211,23.688526001162742,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2016,754.7429564012024,845.7154393798387,-0.4906304306778069,2.0016384834923326,0.1710368422212794,291.30835,18.71342035548105,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2017,654.5302778783208,451.0470991284264,-0.4906304306778069,2.0016384834923326,0.1710368422212794,384.35013,18.018689295039167,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2018,594.4444281699731,592.5711414843068,-0.4906304306778069,2.0016384834923326,0.1710368422212794,478.49221,19.23805628676222,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2019,500.8090720780295,483.7505808148535,-0.4906304306778069,2.0016384834923326,0.1710368422212794,580.10487,12.26991633321208,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2020,452.3948500366057,461.5677068385029,-0.4906304306778069,2.0016384834923326,0.1710368422212794,710.6335,12.120389009740702,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2021,485.8439141305412,404.9731142108663,-0.4906304306778069,2.0016384834923326,0.1710368422212794,854.92824,31.256607742554525,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2022,454.0496694376206,407.821932397461,-0.4906304306778069,2.0016384834923326,0.1710368422212794,1045.85862,37.51555585928825,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2023,337.0741866138405,399.0112970065271,-0.4906304306778069,2.0016384834923326,0.1710368422212794,1408.5874199999998,15.442415868619175,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,USA,USA,2024,239.70191312785576,345.91011545706954,-0.4906304306778069,2.0016384834923326,0.1710368422212794,1864.01976,4.7,False,fitted_exp_log_OLS_no_smearing,pv__USA__main_level
pv,DEU,DEU,2010,2665.423973792646,3145.2931917701626,-0.3874765003794204,1.259602038513293,0.2575100124671792,39.73239,86.15882929323459,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2011,2166.715308567403,2035.118483114291,-0.3874765003794204,1.259602038513293,0.2575100124671792,70.26885,90.89271081670634,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2012,1469.8503224522924,1280.2977286235707,-0.3874765003794204,1.259602038513293,0.2575100124671792,99.31435,33.89647685975435,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2013,1146.932523960016,1205.482909644004,-0.3874765003794204,1.259602038513293,0.2575100124671792,134.44763,20.40384900784716,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2014,1110.625280664825,1107.421065123383,-0.3874765003794204,1.259602038513293,0.2575100124671792,172.65223999999998,26.236154197080296,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2015,985.0704354128677,882.8871845364679,-0.3874765003794204,1.259602038513293,0.2575100124671792,219.86211,23.688526001162742,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2016,831.2880623539319,856.8205053073832,-0.3874765003794204,1.259602038513293,0.2575100124671792,291.30835,18.71342035548105,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2017,739.3984329633057,737.7351564931761,-0.3874765003794204,1.259602038513293,0.2575100124671792,384.35013,18.018689295039167,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2018,690.7709134668373,658.8989601407658,-0.3874765003794204,1.259602038513293,0.2575100124671792,478.49221,19.23805628676222,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2019,570.9945949797228,550.4965692833757,-0.3874765003794204,1.259602038513293,0.2575100124671792,580.10487,12.26991633321208,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2020,526.1491706619879,604.6700765600451,-0.3874765003794204,1.259602038513293,0.2575100124671792,710.6335,12.120389009740702,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2021,625.0962047169435,623.7461295178601,-0.3874765003794204,1.259602038513293,0.2575100124671792,854.92824,31.256607742554525,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2022,605.952504611942,606.8253336624042,-0.3874765003794204,1.259602038513293,0.2575100124671792,1045.85862,37.51555585928825,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2023,429.6002868090761,436.1885956398473,-0.3874765003794204,1.259602038513293,0.2575100124671792,1408.5874199999998,15.442415868619175,False,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,DEU,DEU,2024,283.7183486914308,,-0.3874765003794204,1.259602038513293,0.2575100124671792,1864.01976,4.7,True,fitted_exp_log_OLS_no_smearing,pv__DEU__main_level
pv,JPN,JPN,2010,6777.605704087598,6185.854551124482,-0.5739927583121232,3.878108316768624,0.0334484244505116,39.73239,86.15882929323459,False,fitted_exp_log_OLS_no_smearing,pv__JPN__main_level
pv,JPN,JPN,2011,4894.656887329767,5857.115929207474,-0.5739927583121232,3.878108316768624,0.0334484244505116,70.26885,90.89271081670634,False,fitted_exp_log_OLS_no_smearing,pv__JPN__main_level
pv,JPN,JPN,2012,3882.8612570230916,4918.597175884388,-0.5739927583121232,3.878108316768624,0.0334484244505116,99.31435,33.89647685975435,False,fitted_exp_log_OLS_no_smearing,pv__JPN__main_level
pv,JPN,JPN,2013,3208.2983954780284,3339.4520018715903,-0.5739927583121232,3.878108316768624,0.0334484244505116,134.44763,20.40384900784716,False,fitted_exp_log_OLS_no_smearing,pv__JPN__main_level
pv,JPN,JPN,2014,2802.7242144464526,2517.6107562854827,-0.5739927583121232,3.878108316768624,0.0334484244505116,172.65223999999998,26.236154197080296,False,fitted_exp_log_OLS_no_smearing,pv__JPN__main_level
pv,JPN,JPN,2015,2431.307054978458,1508.7755730601602,-0.5739927583121232,3.878108316768624,0.0334484244505116,219.86211,23.688526001162742,False,fitted_exp_log_OLS_no_smearing,pv__JPN__main_level
