model_id,technology,iso3,country_name,spec,n,df_resid,first_year,last_year,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,SE_OLS,p_OLS,p_BH_within_technology_spec
pv__AUS__main_level,pv,AUS,Australia,main_level,15,13,2010,2024,const,11.115055398479406,0.33285824088699023,5.485750931194207e-14,10.395958887821811,11.834151909137,***,0.2759512585734299,4.900024133652506e-15,
pv__AUS__main_level,pv,AUS,Australia,main_level,15,13,2010,2024,lnQ,-0.6311445523247294,0.05922529815661829,8.560495725769456e-08,-0.7590930301319511,-0.5031960745175078,***,0.046647902711613655,4.8931713606206975e-09,9.416545298346401e-07
pv__AUS__annual_difference,pv,AUS,Australia,annual_difference,14,12,2011,2024,const,-0.3258912322355245,0.0393454866422663,2.6299273946578973e-06,-0.4116176833211948,-0.24016478114985423,***,0.17633359037094976,0.08936339170257523,
pv__AUS__annual_difference,pv,AUS,Australia,annual_difference,14,12,2011,2024,lnQ,0.6864444707742966,0.23655006036980358,0.013279384790769922,0.1710461643820117,1.2018427771665814,**,0.6069376632289566,0.2801539796129562,0.040275318671106654
pv__BRA__main_level,pv,BRA,Brazil,main_level,13,11,2011,2024,const,12.336278343844599,0.5598545789183104,1.8855906371766679e-10,11.104046723836046,13.568509963853153,***,0.5394561727022414,1.2636762185381587e-10,
pv__BRA__main_level,pv,BRA,Brazil,main_level,13,11,2011,2024,lnQ,-0.8431480181598846,0.09529513545022116,2.4761875828619638e-06,-1.0528911971147439,-0.6334048392050254,***,0.08784847241400597,1.1125342609005139e-06,6.8095158528704e-06
pv__BRA__annual_difference,pv,BRA,Brazil,annual_difference,11,9,2014,2024,const,-1.1911368013687422,0.3644491980545962,0.009708741083746914,-2.015578165224007,-0.36669543751347733,***,0.7019595783535988,0.12395188146740173,
pv__BRA__annual_difference,pv,BRA,Brazil,annual_difference,11,9,2014,2024,lnQ,4.253159912704246,1.4116246188618577,0.014645570425856964,1.0598431699636137,7.446476655444878,**,2.8984322956080706,0.17632288493620918,0.040275318671106654
pv__CHN__main_level,pv,CHN,China,main_level,15,13,2010,2024,const,9.873738488670833,0.38356805386658144,1.5408291220526799e-12,9.045090087477039,10.702386889864627,***,0.2857413550099931,3.5327605060263875e-14,
pv__CHN__main_level,pv,CHN,China,main_level,15,13,2010,2024,lnQ,-0.5260812937466695,0.06557986326488122,2.1699204173986836e-06,-0.6677579748392344,-0.3844046126541045,***,0.04830285970826236,6.623829999127817e-08,6.8095158528704e-06
