technology,removed_country,definition,year,Q_global_gw,national_stock_gw,national_2009_stock_gw,removed_experience_gw,Q_counterfactual_gw,Q_ratio
pv,CHN,no_additions_since_2010,2010,39.73239,0.864,0.284,0.5800000000000001,39.152390000000004,0.9854023379917494
pv,CHN,no_additions_since_2010,2011,70.26885,2.93,0.284,2.6460000000000004,67.62285,0.962344623542295
pv,CHN,no_additions_since_2010,2012,99.31435,6.5,0.284,6.216,93.09835000000001,0.9374108575447557
pv,CHN,no_additions_since_2010,2013,134.44763,17.45,0.284,17.166,117.28163,0.8723220334936361
pv,CHN,no_additions_since_2010,2014,172.65223999999998,28.05,0.284,27.766000000000002,144.88624,0.8391796133082317
pv,CHN,no_additions_since_2010,2015,219.86211,43.18,0.284,42.896,176.96611000000001,0.8048958958867447
pv,CHN,no_additions_since_2010,2016,291.30835,77.42,0.284,77.136,214.17235000000002,0.735208414039625
pv,CHN,no_additions_since_2010,2017,384.35013,130.42449,0.284,130.14049,254.20963999999998,0.6614012072794148
pv,CHN,no_additions_since_2010,2018,478.49221,174.63006,0.284,174.34606,304.14615000000003,0.6356344860870359
pv,CHN,no_additions_since_2010,2019,580.10487,204.18,0.284,203.89600000000002,376.20887,0.6485187238645316
pv,CHN,no_additions_since_2010,2020,710.6335,253.01,0.284,252.726,457.9075,0.6443652037231569
pv,CHN,no_additions_since_2010,2021,854.92824,305.99,0.284,305.706,549.2222399999999,0.6424191111057461
pv,CHN,no_additions_since_2010,2022,1045.85862,392.04,0.284,391.75600000000003,654.1026199999999,0.625421646378934
pv,CHN,no_additions_since_2010,2023,1408.5874199999998,608.92,0.284,608.636,799.9514199999999,0.5679103821614423
pv,CHN,no_additions_since_2010,2024,1864.01976,885.68,0.284,885.396,978.62376,0.5250071812543446
pv,CHN,remove_all_historical_stock,2010,39.73239,0.864,0.284,0.864,38.868390000000005,0.978254517284261
pv,CHN,remove_all_historical_stock,2011,70.26885,2.93,0.284,2.93,67.33885,0.9583030033933954
pv,CHN,remove_all_historical_stock,2012,99.31435,6.5,0.284,6.5,92.81435,0.9345512506500823
pv,CHN,remove_all_historical_stock,2013,134.44763,17.45,0.284,17.45,116.99763,0.8702096868498165
pv,CHN,remove_all_historical_stock,2014,172.65223999999998,28.05,0.284,28.05,144.60223999999997,0.8375346882264603
pv,CHN,remove_all_historical_stock,2015,219.86211,43.18,0.284,43.18,176.68211,0.8036041771817799
pv,CHN,remove_all_historical_stock,2016,291.30835,77.42,0.284,77.42,213.88835,0.7342335020606172
pv,CHN,remove_all_historical_stock,2017,384.35013,130.42449,0.284,130.42449,253.92564,0.6606622976815436
pv,CHN,remove_all_historical_stock,2018,478.49221,174.63006,0.284,174.63006,303.86215000000004,0.6350409550032173
pv,CHN,remove_all_historical_stock,2019,580.10487,204.18,0.284,204.18,375.92487,0.6480291572108333
pv,CHN,remove_all_historical_stock,2020,710.6335,253.01,0.284,253.01,457.62350000000004,0.6439655603064027
pv,CHN,remove_all_historical_stock,2021,854.92824,305.99,0.284,305.99,548.93824,0.6420869194822714
pv,CHN,remove_all_historical_stock,2022,1045.85862,392.04,0.284,392.04,653.81862,0.6251500991596742
pv,CHN,remove_all_historical_stock,2023,1408.5874199999998,608.92,0.284,608.92,799.6674199999999,0.5677087617323744
pv,CHN,remove_all_historical_stock,2024,1864.01976,885.68,0.284,885.68,978.33976,0.5248548223544584
pv,USA,no_additions_since_2010,2010,39.73239,2.909,1.614,1.2949999999999997,38.43739,0.9674069443091643
pv,USA,no_additions_since_2010,2011,70.26885,5.172,1.614,3.558,66.71085,0.949365899683857
pv,USA,no_additions_since_2010,2012,99.31435,8.137,1.614,6.523000000000001,92.79135000000001,0.9343196627677672
pv,USA,no_additions_since_2010,2013,134.44763,11.759,1.614,10.145,124.30263000000001,0.9245431102058103
pv,USA,no_additions_since_2010,2014,172.65223999999998,15.984,1.614,14.37,158.28223999999997,0.9167691076582615
pv,USA,no_additions_since_2010,2015,219.86211,21.684,1.614,20.07,199.79211,0.9087155126456306
pv,USA,no_additions_since_2010,2016,291.30835,32.958,1.614,31.343999999999998,259.96435,0.8924026722886591
pv,USA,no_additions_since_2010,2017,384.35013,41.35676,1.614,39.742760000000004,344.60736999999995,0.8965975112327917
pv,USA,no_additions_since_2010,2018,478.49221,49.81223000000001,1.614,48.19823000000001,430.29398,0.899270606725238
pv,USA,no_additions_since_2010,2019,580.10487,59.068400000000004,1.614,57.45440000000001,522.65047,0.900958597365335
pv,USA,no_additions_since_2010,2020,710.6335,74.04558,1.614,72.43158,638.20192,0.8980746334080788
pv,USA,no_additions_since_2010,2021,854.92824,93.30566,1.614,91.69166,763.23658,0.892749290864459
pv,USA,no_additions_since_2010,2022,1045.85862,111.36192,1.614,109.74792,936.1107,0.8950642869874706
pv,USA,no_additions_since_2010,2023,1408.5874199999998,138.44660000000002,1.614,136.8326,1271.7548199999999,0.902858283371578
