importer_iso3,importer_name,supplier_iso3,supplier_name,year,hs6,hs_scope_note,applied_rate_pct,bilateral_rate_pct,mfn_rate_pct,tariff_source,selected_tariff_type,bilateral_total_lines,bilateral_pref_lines,bilateral_mfn_lines,mfn_total_lines,wits_nomen_code,trade_pair_year_observed,import_value,import_share,datatype
AUS,Australia,AUT,Austria,2016,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,3185.0,1.7728418792253057e-05,aveestimated
AUS,Australia,BEL,,2019,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,34720.481,8.337007924322672e-05,aveestimated
AUS,Australia,CAN,Canada,2011,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H3,True,1912.0,1.2370366068634517e-05,aveestimated
AUS,Australia,CAN,Canada,2012,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,317230.0,0.0009016733625641722,aveestimated
AUS,Australia,CAN,Canada,2013,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,14263.0,8.43598614844551e-05,aveestimated
AUS,Australia,CHN,China,2010,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H3,True,19191691.0,0.8475768834433621,aveestimated
AUS,Australia,CHN,China,2011,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H3,True,29995790.0,0.19406846381688628,aveestimated
AUS,Australia,CHN,China,2012,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,10779908.0,0.03064009045327498,aveestimated
AUS,Australia,CHN,China,2013,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,124832240.0,0.7383320812728217,aveestimated
AUS,Australia,CHN,China,2014,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,67152418.0,0.9546983849601365,aveestimated
AUS,Australia,CHN,China,2015,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,362759.0,0.718476926123985,aveestimated
AUS,Australia,CHN,China,2016,850231,HS850231 wind-powered generating sets,1.5,1.5,2.5,BILATERAL_TRAINS,PREF,2.0,1.0,1.0,2.0,H4,True,51928556.0,0.2890458989152167,aveestimated
AUS,Australia,CHN,China,2017,850231,HS850231 wind-powered generating sets,1.0,1.0,2.5,BILATERAL_TRAINS,PREF,2.0,1.0,1.0,2.0,H5,True,126439225.756,0.4309022848039764,aveestimated
AUS,Australia,CHN,China,2018,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,117022925.929,0.26677968761573034,aveestimated
AUS,Australia,CHN,China,2019,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,397418341.162,0.9542724536387516,aveestimated
AUS,Australia,CHN,China,2020,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,156774117.041,0.9990289745502492,aveestimated
AUS,Australia,CHN,China,2021,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,2379724.823,0.6683931885646818,aveestimated
AUS,Australia,CHN,China,2022,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H6,True,16874593.99,0.3448354120574368,aveestimated
AUS,Australia,CHN,China,2023,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H6,True,70049120.365,0.9953086586854949,aveestimated
AUS,Australia,CHN,China,2024,850231,HS850231 wind-powered generating sets,,,,MISSING,,,,,,,True,135787997.092,0.9984371993461245,aveestimated
AUS,Australia,DEU,Germany,2010,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H3,True,18354.0,0.0008105813145240547,aveestimated
AUS,Australia,DEU,Germany,2011,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H3,True,14703663.0,0.0951305930229272,aveestimated
AUS,Australia,DEU,Germany,2012,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,36676640.0,0.10424723171312808,aveestimated
AUS,Australia,DEU,Germany,2013,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,42547840.0,0.25165322084153113,aveestimated
AUS,Australia,DEU,Germany,2014,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,58004.0,0.0008246363536935894,aveestimated
AUS,Australia,DEU,Germany,2015,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,16753.0,0.03318082788671024,aveestimated
AUS,Australia,DEU,Germany,2016,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,35427768.0,0.19719884080966452,aveestimated
AUS,Australia,DEU,Germany,2017,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,24464537.798,0.08337464240863714,aveestimated
AUS,Australia,DEU,Germany,2018,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,223870986.422,0.5103635150955154,aveestimated
AUS,Australia,DEU,Germany,2019,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,18921023.724,0.04543275904596059,aveestimated
AUS,Australia,DEU,Germany,2020,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,4169.191,2.6567795041989283e-05,aveestimated
AUS,Australia,DEU,Germany,2021,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,1064168.372,0.29889291587675576,aveestimated
AUS,Australia,DEU,Germany,2022,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H6,True,258134.252,0.00527502061426239,aveestimated
AUS,Australia,DEU,Germany,2023,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H6,True,217310.37,0.0030877031967872968,aveestimated
AUS,Australia,DNK,Denmark,2010,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H3,True,43403.0,0.0019168388794969784,aveestimated
AUS,Australia,DNK,Denmark,2011,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H3,True,104386533.0,0.6753659130991618,aveestimated
AUS,Australia,DNK,Denmark,2012,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,303634177.0,0.8630295034044544,aveestimated
AUS,Australia,DNK,Denmark,2013,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,230941.0,0.0013659223705448746,aveestimated
AUS,Australia,DNK,Denmark,2014,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,838970.0,0.011927542267055904,aveestimated
AUS,Australia,DNK,Denmark,2016,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,91628429.0,0.5100242268722841,aveestimated
AUS,Australia,DNK,Denmark,2017,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,103545474.531,0.3528808507782449,aveestimated
AUS,Australia,DNK,Denmark,2018,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,62239091.541,0.14188779905288693,aveestimated
AUS,Australia,DNK,Denmark,2021,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H5,True,1823.893,0.000512276733044274,aveestimated
AUS,Australia,DNK,Denmark,2022,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H6,True,442605.389,0.009044722011392057,aveestimated
AUS,Australia,DNK,Denmark,2024,850231,HS850231 wind-powered generating sets,,,,MISSING,,,,,,,True,110532.056,0.0008127324858900275,aveestimated
AUS,Australia,ESP,Spain,2013,850231,HS850231 wind-powered generating sets,2.5,,2.5,MFN_FALLBACK,MFN,,,,2.0,H4,True,34460.0,0.00020381692678639297,aveestimated
