technology,iso3,year,observed,procurement,B_fit,B_anchor,beta_B,model_factual,capacity_weight,observation_rule,observed_completed
pv,AUS,2010,8226.006707647639,2666.087536470219,6575.302935539268,5559.91917117742,-0.6311445523247294,9241.390472009487,5323.000000000004,reported,8226.006707647639
pv,AUS,2011,8070.627916404932,1951.7830260493906,4588.100431885518,6118.844890355542,-0.6311445523247294,6539.8834579349095,5323.000000000004,reported,8070.627916404932
pv,AUS,2012,5845.8413892502,1192.4342491942662,3688.110954154833,4653.407140055934,-0.6311445523247294,4880.545203349099,5323.000000000004,reported,5845.8413892502
pv,AUS,2013,3431.1490001785755,860.2898660049309,3046.368948670667,2570.8591341736446,-0.6311445523247294,3906.658814675598,5323.000000000004,reported,3431.1490001785755
pv,AUS,2014,3581.3283583559555,857.4327133734384,2601.525984466303,2723.8956449825173,-0.6311445523247294,3458.958697839741,5323.000000000004,reported,3581.3283583559555
pv,AUS,2015,2663.0217981108967,724.9704361883232,2233.4270165617786,1938.0513619225735,-0.6311445523247294,2958.397452750102,5323.000000000004,reported,2663.0217981108967
pv,AUS,2016,2292.9292994915004,567.7810367104781,1870.0115835712204,1725.1482627810224,-0.6311445523247294,2437.7926202816984,5323.000000000004,reported,2292.9292994915004
pv,AUS,2017,2346.42868245442,507.80294671927766,1569.8958446438712,1838.6257357351424,-0.6311445523247294,2077.6987913631488,5323.000000000004,reported,2346.42868245442
pv,AUS,2018,1809.828003777512,438.89349130200554,1367.1582874292396,1370.9345124755066,-0.6311445523247294,1806.0517787312451,5323.000000000004,reported,1809.828003777512
pv,AUS,2019,1489.0921446638883,336.0370827124785,1210.6961061267905,1153.05506195141,-0.6311445523247294,1546.733188839269,5323.000000000004,reported,1489.0921446638883
pv,AUS,2020,1248.0457552893834,303.05931400195163,1065.1397478855254,944.9864412874317,-0.6311445523247294,1368.199061887477,5323.000000000004,reported,1248.0457552893834
pv,AUS,2021,1162.0471230412904,371.103902666107,947.8416555023391,790.9432203751835,-0.6311445523247294,1318.945558168446,5323.000000000004,reported,1162.0471230412904
pv,AUS,2022,979.5214615557928,353.86640981108314,834.6094605210275,625.6550517447097,-0.6311445523247294,1188.4758703321106,5323.000000000004,reported,979.5214615557928
pv,AUS,2023,1012.2454310798984,224.51838178014515,691.6230844303054,787.7270492997532,-0.6311445523247294,916.1414662104505,5323.000000000004,reported,1012.2454310798984
pv,AUS,2024,943.9690385525072,129.51154301459258,579.5357096998207,814.4574955379146,-0.6311445523247294,709.0472527144133,5323.000000000004,reported,943.9690385525072
pv,BRA,2010,,2841.5447425676575,10215.554287664529,4680.970811007896,-0.8431480181598846,13057.099030232186,15550.85,carry_2011,7522.515553575554
pv,BRA,2011,7522.515553575554,2145.8440335034957,6316.597124754594,5376.671520072058,-0.8431480181598846,8462.44115825809,15550.85,reported,7522.515553575554
pv,BRA,2012,,1420.2575738767985,4718.466739838976,4718.466739838976,-0.8431480181598846,6138.724313715774,15550.85,interpolate_country,6319.899096442668
