target,technology,iso3,year,observed,procurement,B_fit,B_anchor,beta_B,model_factual,capacity_weight,observation_rule,observed_completed,P,S,T,K,E,net,total_decline,remainder,model_without_source_contribution,net_pct
CHN,pv,AUS,2024,943.9690385525072,129.51154301459258,579.5357096998207,814.4574955379146,-0.6311445523247294,709.0472527144133,5323.000000000004,reported,943.9690385525072,1610.212914959786,124.9650521365189,0.0,5.45108392536501,356.86365899583154,2097.4927100175014,7282.037669095132,5184.54495907763,2806.539962731915,28.803650919291886
CHN,pv,BRA,2024,724.4366073748986,131.8617369588426,398.2022818459343,592.574870416056,-0.8431480181598846,530.0640188047769,15550.85,reported,724.4366073748986,1379.2374502404687,236.46743352316903,-16.431158915055743,8.470653364514877,369.22592420693314,1976.97030242003,6798.078946200655,4821.108643780625,2507.034321224807,29.08130838234718
CHN,pv,DEU,2024,592.9665484018221,139.32381848965485,382.60423905278026,453.6427299121673,-0.384829060580243,521.9280575424351,15685.0,reported,592.9665484018221,1346.3435145438214,143.07485543218374,0.0,16.173171744053146,117.53259499399833,1623.1241367140567,3819.462950544251,2196.3388138301943,2145.052194256492,42.49613513027456
CHN,pv,ESP,2024,822.1244412681233,145.39462230540977,395.0091498366218,676.7298189627136,-0.4691205152601589,540.4037721420316,6243.260000000002,reported,822.1244412681233,1106.2461895537292,211.45538049394554,0.0,6.172327597699079,219.64108532094775,1543.5149829663214,4741.7765895245575,3198.261606558236,2083.9187551083533,32.55140671064565
CHN,pv,FRA,2024,1103.958016240936,140.17118712993985,453.99182716551,963.7868291109962,-0.5680182225907597,594.1630142954499,5333.52,reported,1103.958016240936,1117.5161255202638,245.77372889656021,0.0,10.935095146087567,394.8649353851721,1769.0898849480836,5410.699307984683,3641.6094230365998,2363.2528992435336,32.69614118709943
CHN,pv,IND,2024,525.1674202758713,191.57837800557286,215.94456851054264,333.5890422702985,-0.7017656828234162,407.5229465161155,24174.719999999987,reported,525.1674202758713,1382.9262040955737,276.290567750548,-209.50200575711455,10.051998081492046,157.42708485014538,1617.1938490206444,5490.645156154766,3873.451307134121,2024.71679553676,29.45362162418824
CHN,pv,ITA,2024,804.1602225425657,212.89001534158686,303.0347030331993,591.2702072009789,-0.5895247210083466,515.9247183747862,6085.75,reported,804.1602225425657,701.9233233403081,-23.182877134841135,0.0,10.558548786557498,243.94700397604225,933.2459989680667,5274.714075159887,4341.468076191821,1449.1707173428529,17.692826296746297
CHN,pv,JPN,2024,1911.450682621868,315.6578779059118,1256.3999687750404,1595.7928047159562,-0.1713694705319817,1572.0578466809523,2533.3300000000017,reported,1911.450682621868,863.568118490911,800.0556994486501,0.0,111.44667218588924,181.81847654837944,1956.8889666738298,4732.825819242991,2775.9368525691616,3528.946813354782,41.34715794351442
CHN,pv,KOR,2024,1262.2227758007118,143.30763666718263,695.5557434474163,1118.9151391335292,-0.4321698509914313,838.8633801145988,3152.029999999999,reported,1262.2227758007118,907.7310307664225,124.65136434412688,0.0,41.14586291518621,332.28646156203456,1405.81471958777,5750.361703815428,4344.546984227658,2244.678099702369,24.447413780162673
CHN,pv,USA,2024,1058.0371018079034,275.2245466799997,592.0893941961257,782.8125551279036,-0.5214862563796543,867.3139408761253,37667.69999999998,reported,1058.0371018079034,466.8249416520011,-67.76020198773658,-206.0381831908768,27.31647483887376,291.80959404199115,512.1526253542527,4494.391436929972,3982.2388115757194,1379.466566230378,11.395372044053506
CHN,wind,AUS,2024,1380.5779985677066,364.3836903060438,885.7759428051778,1016.1943082616629,-0.6608866327723203,1250.1596331112216,2655.0,reported,1380.5779985677066,653.8197895305242,69.85557410226635,6.370106043105886,0.19077398932393824,0.0,730.2362436652204,2762.5064308935325,2032.2701872283121,1980.395876776442,26.433829637421894
CHN,wind,BRA,2024,1307.044736135391,398.9197531891879,635.9618084499955,908.1249829462032,-0.4846771838084797,1034.8815616391835,3807.310000000001,reported,1307.044736135391,408.0222024547836,390.39522540069544,7.464545924920046,12.702593643063999,0.0,818.584567423463,1799.196779698392,980.612212274929,1853.4661290626464,45.49722279742443
CHN,wind,CAN,2024,1237.5279556276118,560.3421311843513,1077.6013681507616,677.1858244432606,-0.2643524831740681,1637.9434993351128,1260.0,reported,1237.5279556276118,195.75483737839164,297.920390174426,0.0,90.09293192675418,0.0,583.7681594795719,1970.2411215219868,1386.472962042415,2221.7116588146846,29.629274970599447
CHN,wind,DEU,2024,1669.527372030262,875.537730004671,1046.1987495440808,793.9896420255911,0.2020092160890111,1921.7364795487517,2565.0,reported,1669.527372030262,8.594821462017496,13.754141332085517,-0.18716347991167034,207.86717669094747,0.0,230.02897600513882,1035.2917565798798,805.262780574741,2151.7654555538907,22.218758581160454
CHN,wind,ESP,2024,1398.8328190572436,704.3477312453125,573.8383489698434,694.4850878119311,-0.5083763749600175,1278.186080215156,1315.7700000000004,reported,1398.8328190572436,35.37341494384624,40.594065380713836,-0.7578177594740783,31.940142069510014,0.0,107.14980463459602,1518.4988305827058,1411.3490259481098,1385.335884849752,7.056298133168701
