target,technology,iso3,capacity_weight,equipment_gap,other_gap,total_gap,Q_ratio
CHN,pv,AUS,5323.000000000004,36.60406594774663,408.7062675536061,445.3103335013527,0.5250071812543446
USA,pv,AUS,5323.000000000004,4.83766489780881,52.12575345619851,56.96341835400732,0.9063849516273369
DEU,pv,AUS,5323.000000000004,2.1467120765306102,23.053687966567587,25.2004000430982,0.9567386560322729
JOINT,pv,AUS,5323.000000000004,58.364465182307974,665.6138842571154,723.9783494394234,0.3881307889139545
CHN,pv,BRA,15550.85,38.75527613921209,427.6252025050321,466.3804786442442,0.5250071812543446
USA,pv,BRA,15550.85,5.121808781804343,51.20138436277058,56.32319314457492,0.9063849516273369
DEU,pv,BRA,15550.85,2.2727937703047405,22.51319872746195,24.785992497766692,0.9567386560322729
JOINT,pv,BRA,15550.85,61.79565513098847,723.545269102338,785.3409242333265,0.3881307889139545
CHN,pv,ESP,6243.260000000002,33.28820585769102,238.84014814038224,272.12835399807324,0.5250071812543446
USA,pv,ESP,6243.260000000002,4.404356512880075,31.934893513358467,36.339250026238545,0.9063849516273369
DEU,pv,ESP,6243.260000000002,1.9546424997548069,14.1866745551059,16.141317054860707,0.9567386560322729
JOINT,pv,ESP,6243.260000000002,53.04348474587401,378.2256337912735,431.2691185371475,0.3881307889139545
CHN,pv,FRA,5333.52,35.33708422817864,425.9489152273712,461.2859994555498,0.5250071812543446
USA,pv,FRA,5333.52,4.675869582863258,55.33982210276788,60.01569168563114,0.9063849516273369
DEU,pv,FRA,5333.52,2.0751590196154472,24.517574353598096,26.592733373213544,0.9567386560322729
JOINT,pv,FRA,5333.52,56.30569805441634,686.0801060077316,742.3858040621479,0.3881307889139545
CHN,pv,IND,24174.719999999987,46.353469401751056,190.72344982527324,237.0769192270243,0.5250071812543446
USA,pv,IND,24174.719999999987,6.125972512076701,23.82224873632123,29.94822124839793,0.9063849516273369
DEU,pv,IND,24174.719999999987,2.7183898505881174,10.515467409000976,13.233857259589094,0.9567386560322729
JOINT,pv,IND,24174.719999999987,73.91101966225003,314.5271089406071,388.4381286028571,0.3881307889139545
CHN,pv,ITA,6085.75,20.75913716678975,273.2108930425453,293.97003020933505,0.5250071812543446
USA,pv,ITA,6085.75,2.781227260118831,35.27328442175429,38.05451168187312,0.9063849516273369
DEU,pv,ITA,6085.75,1.2357839972521005,15.618153201156186,16.853937198408286,0.9567386560322729
JOINT,pv,ITA,6085.75,32.841104392210006,441.71373462558626,474.55483901779627,0.3881307889139545
CHN,pv,JPN,2533.3300000000017,131.47639946380306,186.3054157762529,317.78181524005595,0.5250071812543446
USA,pv,JPN,2533.3300000000017,17.115301433912304,27.107361982071442,44.222663415983746,0.9063849516273369
DEU,pv,JPN,2533.3300000000017,7.584139446025478,12.140167273701593,19.72430671972707,0.9567386560322729
JOINT,pv,JPN,2533.3300000000017,211.5295563056737,280.9860806438359,492.5156369495096,0.3881307889139545
CHN,pv,KOR,3152.029999999999,61.61426214984536,359.2851906131194,420.89945276296476,0.5250071812543446
USA,pv,KOR,3152.029999999999,8.020940999258748,48.5537597861789,56.57470078543765,0.9063849516273369
DEU,pv,KOR,3152.029999999999,3.5542788132684393,21.591183825765587,25.145462639034026,0.9567386560322729
JOINT,pv,KOR,3152.029999999999,99.13643568811365,565.4196752957398,664.5561109838535,0.3881307889139545
CHN,wind,AUS,2655.0,142.05550534035982,0.0,142.05550534035982,0.5598405673329274
USA,wind,AUS,2655.0,24.61752828930124,0.0,24.61752828930124,0.887355875387474
DEU,wind,AUS,2655.0,7.340602958599097,0.0,7.340602958599097,0.9639408491534006
JOINT,wind,AUS,2655.0,245.65798599524172,0.0,245.65798599524172,0.4111372918738021
CHN,wind,BRA,3807.310000000001,156.62476099682064,0.0,156.62476099682064,0.5598405673329274
USA,wind,BRA,3807.310000000001,27.17293365797539,0.0,27.17293365797539,0.887355875387474
DEU,wind,BRA,3807.310000000001,8.104241947246432,0.0,8.104241947246432,0.9639408491534006
JOINT,wind,BRA,3807.310000000001,270.6513603253125,0.0,270.6513603253125,0.4111372918738021
CHN,wind,CAN,1260.0,134.30068270431295,0.0,134.30068270431295,0.5598405673329274
USA,wind,CAN,1260.0,23.944056884971346,0.0,23.944056884971346,0.887355875387474
DEU,wind,CAN,1260.0,7.175436633344523,0.0,7.175436633344523,0.9639408491534006
JOINT,wind,CAN,1260.0,227.7442796012256,0.0,227.7442796012256,0.4111372918738021
CHN,wind,ESP,1315.7700000000004,39.46166189855223,0.0,39.46166189855223,0.5598405673329274
USA,wind,ESP,1315.7700000000004,7.222741548922656,0.0,7.222741548922656,0.887355875387474
DEU,wind,ESP,1315.7700000000004,2.174323752542933,0.0,2.174323752542933,0.9639408491534006
JOINT,wind,ESP,1315.7700000000004,65.69139439049049,0.0,65.69139439049049,0.4111372918738021
CHN,wind,FRA,1137.119999999999,51.952425950564766,0.0,51.952425950564766,0.5598405673329274
USA,wind,FRA,1137.119999999999,9.374008132036591,0.0,9.374008132036591,0.887355875387474
DEU,wind,FRA,1137.119999999999,2.815034663670064,0.0,2.815034663670064,0.9639408491534006
JOINT,wind,FRA,1137.119999999999,87.37074149831493,0.0,87.37074149831493,0.4111372918738021
CHN,wind,GBR,812.0999999999985,155.58936330057674,0.0,155.58936330057674,0.5598405673329274
USA,wind,GBR,812.0999999999985,28.42412178353478,0.0,28.42412178353478,0.887355875387474
DEU,wind,GBR,812.0999999999985,8.55238187159324,0.0,8.55238187159324,0.9639408491534006
JOINT,wind,GBR,812.0999999999985,259.06596351706054,0.0,259.06596351706054,0.4111372918738021
CHN,wind,IND,3426.920000000005,74.67462266586541,0.0,74.67462266586541,0.5598405673329274
USA,wind,IND,3426.920000000005,12.940138480824361,0.0,12.940138480824361,0.887355875387474
DEU,wind,IND,3426.920000000005,3.858535684359478,0.0,3.858535684359478,0.9639408491534006
JOINT,wind,IND,3426.920000000005,129.13960188631032,0.0,129.13960188631032,0.4111372918738021
CHN,wind,ITA,652.8600000000006,26.701490418360834,0.0,26.701490418360834,0.5598405673329274
USA,wind,ITA,652.8600000000006,4.629754213238102,0.0,4.629754213238102,0.887355875387474
DEU,wind,ITA,652.8600000000006,1.3806592979402477,0.0,1.3806592979402477,0.9639408491534006
JOINT,wind,ITA,652.8600000000006,46.15779962945868,0.0,46.15779962945868,0.4111372918738021
CHN,wind,POL,808.4300000000003,10.969428457179529,0.0,10.969428457179529,0.5598405673329274
