technology,iso3,supplier,year,rate,status,source_year,uses_future_year
pv,AUS,ARE,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,AUT,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,BEL,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,BGR,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,CAN,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,CHE,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,CHN,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,CRI,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,CZE,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,DEU,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,DNK,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,DOM,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,ESP,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,FIN,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,FJI,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,FRA,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,GBR,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,HKG,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,HRV,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,HUN,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,IDN,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,IND,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,IRL,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,ISR,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,ITA,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,JOR,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,JPN,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,KOR,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,LUX,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,MAC,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,MAR,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,MEX,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,MLT,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,MYS,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,NLD,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,NOR,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,NZL,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,PHL,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,POL,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,PRT,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,RUS,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,S19,2010,0.0,reporter_MFN_fallback,2010,False
pv,AUS,SGP,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,SVK,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,SVN,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,SWE,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,THA,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,TUR,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,USA,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,VGB,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,ZAF,2010,0.0,observed_bilateral_or_MFN,2010,False
pv,AUS,ARG,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,AUT,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,BEL,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,BRA,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,BRN,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,CAN,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,CHE,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,CHN,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,CRI,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,CZE,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,DEU,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,DNK,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,DOM,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,ESP,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,EST,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,FIN,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,FJI,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,FRA,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,GBR,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,HKG,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,HUN,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,IDN,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,IND,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,IRL,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,ISR,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,ITA,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,JPN,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,KOR,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,MAC,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,MAR,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,MEX,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,MLI,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,MYS,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,NCL,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,NLD,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,NOR,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,NZL,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,PAK,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,PHL,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,POL,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,PRK,2011,0.0,observed_bilateral_or_MFN,2011,False
pv,AUS,PRT,2011,0.0,observed_bilateral_or_MFN,2011,False
