target,technology,scope,year,n,capacity_weight_sum,P,S,T,K,E,net,total_decline,remainder,observed_completed,model_factual,model_without_source_contribution,net_pct,deployment_channels_K_E
CHN,pv,foreign_sample,2010,10,121749.15999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5995.67804208925,7234.108111850086,7234.108111850086,,0.0
CHN,pv,foreign_sample,2011,10,121749.15999999997,197.88348995319998,39.91128942733566,0.0,6.188100984871058,45.092182071786866,289.07506243719354,743.7818810220253,454.70681858483164,5251.896161067225,5184.21557064235,5473.290633079543,38.86556930372888,51.28028305665792
CHN,pv,foreign_sample,2012,10,121749.15999999997,478.041584706919,45.886216407251844,-26.545502192728506,8.993555049129599,91.17656764768009,597.5524216182521,1551.9535904544673,954.4011688362152,4443.724451634783,3883.9721130313537,4481.524534649606,38.50324038641307,100.17012269680968
CHN,pv,foreign_sample,2013,10,121749.15999999997,637.5063383877575,73.34453523291879,-58.95745585647482,19.174456773128114,197.13806409964397,868.2059386369735,2325.053326472015,1456.8473878350414,3670.624715617236,3130.919848959172,3999.1257875961455,37.34133444390156,216.3125208727721
CHN,pv,foreign_sample,2014,10,121749.15999999997,616.8850321981342,46.7236510598029,-64.27166655497012,23.65721574403358,227.95259315299302,850.9468255999935,2782.955301631187,1932.0084760311936,3212.7227404580635,2798.4923345904213,3649.4391601904144,30.577092815728083,251.6098088970266
CHN,pv,foreign_sample,2015,10,121749.15999999997,667.5683047380867,59.862606644176466,-58.37744201036938,26.437427026368105,159.84340918521337,855.334305583475,3741.3466020165283,2886.012296433053,2254.331440072722,2405.950707295655,3261.2850128791297,22.86166978281197,186.2808362115815
CHN,pv,foreign_sample,2016,10,121749.15999999997,732.4008731472588,75.71331614446962,-52.30818771215865,33.17479544773775,237.76924064015947,1026.750037667467,3982.6967854876575,2955.94674782019,2012.981256601593,2004.9442033075777,3031.6942409750445,25.780271332951788,270.9440360878972
CHN,pv,foreign_sample,2017,10,121749.15999999997,748.3780305458461,64.38428697951996,-58.46628662066649,41.18585680718439,294.1165424418663,1089.5984301537503,4230.229941433064,3140.6315112793136,1765.4481006561866,1718.2771993416095,2807.875629495359,25.757427970561572,335.30239924905067
CHN,pv,foreign_sample,2018,10,121749.15999999997,789.0017584981233,59.25983592106318,-117.77383408487799,42.87987613008115,245.858716118163,1019.2263525825526,4502.542400906741,3483.316048324188,1493.1356411825097,1575.2296899955772,2594.45604257813,22.636685273131388,288.7385922482441
CHN,pv,foreign_sample,2019,10,121749.15999999997,849.4153761119453,81.66764107073836,-105.08688256323754,31.42524067644635,184.1158701212271,1041.5372454171195,4768.715440129609,3727.1781947124896,1226.9626019596417,1350.0769689899548,2391.614214407074,21.84104416573893,215.54111079767344
CHN,pv,foreign_sample,2020,10,121749.15999999997,878.4204471257203,94.14061477642304,-92.65670427121636,27.549196769901044,168.2545802780926,1075.7081346789205,4907.90257083747,3832.1944361585493,1087.7754712517803,1188.868336957325,2264.5764716362455,21.917878750705615,195.80377704799363
CHN,pv,foreign_sample,2021,10,121749.15999999997,814.6239936128468,85.53470726074606,-78.47330323405184,29.06402882422227,117.73783750744079,968.4872639712041,5012.010187329013,4043.5229233578098,983.6678547602367,1163.8230240115254,2132.3102879827293,19.323329916999384,146.80186633166306
CHN,pv,foreign_sample,2022,10,121749.15999999997,884.9351865601628,116.697413574297,-99.28100886783477,26.91478841494898,132.9762172201116,1062.2425969016858,4998.729793498682,3936.4871965969955,996.9482485905693,1054.4960176504162,2116.7386145521023,21.250250379270994,159.8910056350606
CHN,pv,foreign_sample,2023,10,121749.15999999997,928.0648498141061,111.45698754189516,-100.5409684299189,23.657086311165905,197.71470017096738,1160.3526554082157,5072.195332263309,3911.8426768550935,923.4827098259411,840.2346556328362,2000.5873110410519,22.876734419658963,221.37178648213327
CHN,pv,foreign_sample,2024,10,121749.15999999997,1021.2839021893934,128.3220236596199,-107.443495209411,18.558732331580828,252.5873108572441,1313.3084738284274,5150.693417276401,3837.3849434479744,844.9846248128493,649.15794807945,1962.4664219078772,25.497702298167116,271.14604318882493
CHN,pv,common_receivers,2010,8,68396.45999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6602.865061952403,7893.980135281313,7893.980135281313,,0.0
CHN,pv,common_receivers,2011,8,68396.45999999999,183.04496114217844,30.580699722364564,0.0,5.130494879386299,52.489561831274486,271.2457175752038,1001.7411219494213,730.4954043742176,5601.123940002982,5515.3475107071745,5786.593228282379,27.07742665563641,57.62005671066078
CHN,pv,common_receivers,2012,8,68396.45999999999,456.8085723059282,66.4849616532532,0.0,7.79426724810855,96.55980419378878,627.6476054010786,2199.2479698470693,1571.6003644459906,4403.6170921053335,4044.628092290036,4672.275697691115,28.539192215088132,104.35407144189733
CHN,pv,common_receivers,2013,8,68396.45999999999,625.619469492977,120.73368340031733,-5.701620328793965,16.41595690411731,224.30137687633214,981.36886634495,2927.4498457551904,1946.0809794102402,3675.4152161972133,3174.957648881805,4156.326515226755,33.522995031595066,240.71733378044945
CHN,pv,common_receivers,2014,8,68396.45999999999,603.4749676371754,91.93576330636604,-9.482406003714663,19.417779913627996,281.6371276975161,986.9832325509709,3213.5918687760127,2226.6086362250417,3389.27319317639,2796.678219157341,3783.6614517083117,30.712774765853865,301.05490761114413
CHN,pv,common_receivers,2015,8,68396.45999999999,709.4297165756842,136.85285515142277,-10.07007478144309,21.024080676082285,146.17302845365617,1003.4096060754024,4625.959220859361,3622.5496147839585,1976.905841093042,2358.2660436523674,3361.6756497277693,21.69084417240063,167.19710912973846
CHN,pv,common_receivers,2016,8,68396.45999999999,822.9248130999579,174.8516624687837,-9.024782827604035,25.332495007405058,239.9544712398822,1254.0386589884247,4797.365068192351,3543.3264092039262,1805.4999937600521,1923.0793132128774,3177.117972201302,26.140154880081848,265.28696624728724
CHN,pv,common_receivers,2017,8,68396.45999999999,858.788349785607,162.4386897214173,-16.735372818438517,30.52364783097539,306.69465970874455,1341.7099742283058,4992.632595233548,3650.922621005242,1610.232466718855,1620.8876904634324,2962.597664691738,26.87379751334461,337.21830753971994
CHN,pv,common_receivers,2018,8,68396.45999999999,912.179681933311,158.62348607652544,-49.03107176426991,29.33810507265885,261.61208058252174,1312.722281900747,5264.641907471189,3951.919625570442,1338.223154481214,1432.1362530956133,2744.8585349963605,24.934692709827594,290.9501856551806
CHN,pv,common_receivers,2019,8,68396.45999999999,1004.1804256130702,178.07419974870356,-47.765300641188716,22.588204226958325,200.56894878484977,1357.6464777323931,5464.554090260459,4106.907612528065,1138.3109716919446,1219.1077064039741,2576.7541841363673,24.844597661722172,223.15715301180808
CHN,pv,common_receivers,2020,8,68396.45999999999,1033.4787512843677,189.75187260749485,-34.28869711351278,19.90940869890143,184.52107712631124,1393.3724126035627,5580.907284461148,4187.534871857586,1021.957777491255,1065.40150991622,2458.7739225197824,24.96677227523762,204.43048582521266
CHN,pv,common_receivers,2021,8,68396.45999999999,961.8772515706046,170.54986850049903,-21.152238816118416,20.588509814923654,114.04110090447696,1245.904491974386,5711.595765699689,4465.691273725303,891.269296252714,1048.5223217694293,2294.426813743815,21.813597164150128,134.6296107194006
CHN,pv,common_receivers,2022,8,68396.45999999999,1079.4177192787834,209.5627071967409,-67.55604844847576,18.711085226623318,116.30029552213847,1356.4357587758104,5724.683632823571,4368.247874047762,878.181429128832,959.0194536052634,2315.4552123810736,23.69451040051237,135.01138074876178
