target,technology,scope,year,n,capacity_weight_sum,P,S,T,K,E,net,total_decline,remainder,observed_completed,model_factual,model_without_source_contribution,net_pct,deployment_channels_K_E
CHN,pv,foreign_sample,2024,10,121749.15999999997,1021.2839021893934,128.3220236596199,-107.443495209411,18.558732331580828,252.5873108572441,1313.3084738284274,5150.693417276401,3837.3849434479744,844.9846248128493,649.15794807945,1962.4664219078772,25.497702298167116,271.14604318882493
CHN,pv,common_receivers,2024,8,68396.45999999999,1252.094586953709,232.92638892449276,-77.78430076981797,14.28268500944477,261.9579715902252,1683.4773317080535,5817.419969729393,4133.942638021339,785.4450922230103,558.1907597659867,2241.6680914740405,28.93855593145982,276.24065659967
CHN,pv,common_without_India,2024,7,44221.740000000005,1180.5728035152513,209.22047230633584,-5.778119260214424,16.595476679128446,319.10192201581094,1719.7125552563125,5996.058115157836,4276.345559901523,927.7312130670553,640.5564061274351,2360.268961383748,28.680718602592194,335.6973986949394
CHN,wind,foreign_sample,2024,13,25102.63,188.40731835172855,124.72276854723586,1.2328435603424523,64.23632409044282,0.0,378.5992545497496,1414.8741325256883,1036.2748779759386,1459.1009317912606,1422.194053251633,1800.7933078013825,26.758511294139854,64.23632409044282
CHN,wind,common_receivers,2024,11,17535.230000000007,267.2054117504103,177.27946124437875,2.215646048622852,36.33129681089737,0.0,483.03181585430923,1508.2715888704483,1025.2397730161392,1397.3073777386273,1320.009402094713,1803.0412179490224,32.025519768363075,36.33129681089737
CHN,wind,common_without_India,2024,10,14108.310000000001,277.8906025759725,182.68454075543332,2.7538282800131917,43.540067580767044,0.0,506.86903919218594,1753.9061150313141,1247.0370758391282,1467.0290786130688,1383.286050402369,1890.155089594555,28.899439647779342,43.540067580767044
USA,pv,foreign_sample,2024,10,360841.45999999996,18.834125352930165,1.6831172408648065,-5.389559420209755,-30.984321027435282,-16.778466782624,-32.63510463647406,4107.193099967306,4139.82820460378,627.6245754109068,495.8051104272204,463.17000579074636,-0.794584131842592,-47.76278781005928
USA,pv,common_receivers,2024,8,68396.45999999999,88.81109717694758,8.158071425227073,-28.433876401574604,-23.799906206630123,-46.80730631569953,-2.071920321729598,5817.419969729393,5819.491890051122,785.4450922230103,558.1907597659867,556.1188394442571,-0.03561579415807549,-70.60721252232965
USA,pv,common_without_India,2024,7,44221.740000000005,47.7686210650905,0.05794582076311118,-0.5204279099130835,-24.17186560251992,-44.13581067313417,-21.00153729971356,5996.058115157836,6017.05965245755,927.7312130670553,640.5564061274351,619.5548688277216,-0.3502557329559961,-68.30767627565409
USA,wind,foreign_sample,2024,13,95460.22999999998,1.5258562662940487,0.2869673285819119,0.016075461810903077,6.036085372811914,0.0,7.864984429498778,1022.6413064638953,1014.7763220343966,977.266271195849,1208.1399706680436,1216.0049550975423,0.7690853459356577,6.036085372811914
USA,wind,common_receivers,2024,11,17535.230000000007,8.254019925877152,1.5750808961745313,0.08879579039779288,5.807012593415289,0.0,15.724909205864765,1508.2715888704483,1492.5466796645837,1397.3073777386273,1320.009402094713,1335.734311300578,1.0425780954769044,5.807012593415289
USA,wind,common_without_India,2024,10,14108.310000000001,9.890839774970285,1.6516604194671385,0.11036436027115153,6.683572666589125,0.0,18.336437221297704,1753.9061150313141,1735.5696778100164,1467.0290786130688,1383.286050402369,1401.622487623667,1.04546287079741,6.683572666589125
DEU,pv,foreign_sample,2024,10,382824.1599999999,23.910158317722164,1.3451593464292348,-3.979113215985731,-229.62827968002995,-286.3746683885828,-494.7267436204471,4157.080019828658,4651.806763449104,671.3946997264716,531.2891424360624,36.56239881561537,-11.900823204284583,-516.0029480686128
DEU,pv,common_receivers,2024,8,68396.45999999999,110.79157270108148,9.603855165677048,-19.846416963802394,-187.4892478992893,-546.3550412840825,-633.2952782804157,5817.419969729393,6450.715248009808,785.4450922230103,558.1907597659867,-75.10451851442897,-10.886188062332286,-733.8442891833718
DEU,pv,common_without_India,2024,7,44221.740000000005,109.88795468919932,3.26880317961779,-0.19056148654406233,-187.70980031784674,-575.9535821882135,-650.6971861237873,5996.058115157836,6646.755301281622,927.7312130670553,640.5564061274351,-10.140779996352023,-10.852082712121259,-763.6633825060603
DEU,wind,foreign_sample,2024,13,97897.63,25.815060832991165,7.868743396353523,0.0019435664909165304,2.978440731823395,0.0,36.664188527659,1035.5684835612842,998.9042950336254,989.3043598210741,1205.5956203552867,1242.2598088829457,3.540489027009795,2.978440731823395
DEU,wind,common_receivers,2024,11,17535.230000000007,137.49525723738057,42.48805341460599,0.010850758912665737,1.6715442666295688,0.0,181.66570567752882,1508.2715888704483,1326.6058831929195,1397.3073777386273,1320.009402094713,1501.675107772242,12.044628236588288,1.6715442666295688
DEU,wind,common_without_India,2024,10,14108.310000000001,161.93493049934796,45.67825266076903,0.013486417098018344,1.858538668861363,0.0,209.48520824607635,1753.9061150313141,1544.4209067852375,1467.0290786130688,1383.286050402369,1592.7712586484454,11.943923705536326,1.858538668861363
